,Kinase Classification,Comparison (group1/group2),Group,ProteinGroups,AVG Log2 Ratio,Absolute AVG Log2 Ratio,Pvalue,Qvalue,# of Ratios,UniProtIds,Genes,ProteinDescriptions,ProteinNames,# Unique Total Peptides,% Change,Ratio,Condition Numerator,Condition Denominator,GO Cellular Component,GO Molecular Function,GO Biological Process
10,AGC,Hek293_XO44 / Hek293_control,Q15418,Q15418,7.76879808612893,7.76879808612893,0.0020663196596621,0.0047719105896633,6,Q15418,RPS6KA1,Ribosomal protein S6 kinase alpha-1,KS6A1_HUMAN,26,21709.2762805748,218.092762805748,Hek293_XO44,Hek293_control,"nucleus,nucleoplasm,cytoplasm,cytosol","magnesium ion binding,protein serine/threonine kinase activity,protein serine/threonine/tyrosine kinase activity,protein binding,ATP binding,kinase activity,cysteine-type endopeptidase inhibitor activity involved in apoptotic process,ribosomal protein S6 kinase activity","protein phosphorylation,apoptotic process,cell cycle,signal transduction,positive regulation of cell growth,intracellular signal transduction,negative regulation of apoptotic process,negative regulation of cysteine-type endopeptidase activity involved in apoptotic process,regulation of translation in response to stress,regulation of DNA-templated transcription in response to stress,positive regulation of cell differentiation,positive regulation of transcription from RNA polymerase II promoter,hepatocyte proliferation,positive regulation of hepatic stellate cell activation,cellular response to stress"
11,AGC,Hek293_XO44 / Hek293_control,P23443,P23443,6.56231907222804,6.56231907222804,0.0033248035433144,0.0047730276111831,6,P23443,RPS6KB1,Ribosomal protein S6 kinase beta-1,KS6B1_HUMAN,10,9350.50207624391,94.5050207624391,Hek293_XO44,Hek293_control,"nucleus,nucleoplasm,mitochondrion,mitochondrial outer membrane,cytosol,cell surface,cell junction,neuron projection,synapse,perinuclear region of cytoplasm,cytoplasm","protein kinase activity,protein serine/threonine kinase activity,ribosomal protein S6 kinase activity,protein serine/threonine/tyrosine kinase activity,protein binding,ATP binding,kinase activity,PDZ domain binding,peptide binding,identical protein binding,protein phosphatase 2A binding","G1/S transition of mitotic cell cycle,behavioral fear response,skeletal muscle contraction,protein phosphorylation,apoptotic process,signal transduction,germ cell development,aging,response to nutrient,long-term memory,response to heat,response to wounding,response to mechanical stimulus,response to glucose,skeletal muscle atrophy,response to electrical stimulus involved in regulation of muscle adaptation,positive regulation of smooth muscle cell migration,cell migration,TOR signaling,response to lipopolysaccharide,cellular response to insulin stimulus,response to testosterone,response to glucagon,response to tumor necrosis factor,negative regulation of apoptotic process,response to leucine,protein kinase B signaling,response to ethanol,positive regulation of translation,positive regulation of mitotic cell cycle,positive regulation of translational initiation,regulation of glucose import,negative regulation of insulin receptor signaling pathway,phosphatidylinositol-mediated signaling,positive regulation of skeletal muscle tissue growth,positive regulation of smooth muscle cell proliferation,cellular response to growth factor stimulus,cellular response to dexamethasone stimulus,negative regulation of extrinsic apoptotic signaling pathway,intracellular signal transduction"
12,AGC,Hek293_XO44 / Hek293_control,P34947,P34947,4.3280584251312,4.3280584251312,0.007553450036196,0.0053261340646107,6,P34947,GRK5,G protein-coupled receptor kinase 5,GRK5_HUMAN,8,1908.51652373066,20.0851652373066,Hek293_XO44,Hek293_control,"cytoplasm,cytosol,plasma membrane,nuclear speck,nuclear membrane","protein serine/threonine kinase activity,G-protein coupled receptor kinase activity,protein kinase C binding,protein binding,ATP binding,phospholipid binding,beta-adrenergic receptor kinase activity","apoptotic process,G-protein coupled receptor signaling pathway,adenylate cyclase-modulating G-protein coupled receptor signaling pathway,tachykinin receptor signaling pathway,regulation of G-protein coupled receptor protein signaling pathway,positive regulation of cell proliferation,Wnt signaling pathway,negative regulation of apoptotic process,fat cell differentiation,protein autophosphorylation,regulation of cell cycle"
13,AGC,Hek293_XO44 / Hek293_control,O75676,O75676,5.42213031106838,5.42213031106838,0.0053748688057401,0.0048887315870326,6,O75676,RPS6KA4,Ribosomal protein S6 kinase alpha-4,KS6A4_HUMAN,35,4187.69479523784,42.8769479523783,Hek293_XO44,Hek293_control,"nucleus,nucleoplasm,cytoplasm,cytosol","magnesium ion binding,protein serine/threonine kinase activity,ribosomal protein S6 kinase activity,protein binding,ATP binding","negative regulation of cytokine production,regulation of transcription, DNA-templated,protein phosphorylation,inflammatory response,histone phosphorylation,positive regulation of CREB transcription factor activity,positive regulation of histone phosphorylation,positive regulation of histone acetylation,intracellular signal transduction,histone H3-S10 phosphorylation,histone H3-S28 phosphorylation,positive regulation of transcription from RNA polymerase II promoter,positive regulation of NF-kappaB transcription factor activity,interleukin-1-mediated signaling pathway"
14,AGC,Hek293_XO44 / Hek293_control,P51812,P51812,8.02387390317657,8.02387390317657,0.0019284497195606,0.0047311994912661,6,P51812,RPS6KA3,Ribosomal protein S6 kinase alpha-3,KS6A3_HUMAN,41,25927.1566681647,260.271566681647,Hek293_XO44,Hek293_control,"nucleus,nucleoplasm,cytoplasm,cytosol","magnesium ion binding,protein kinase activity,protein serine/threonine kinase activity,protein binding,ATP binding,kinase activity,protein kinase binding,cysteine-type endopeptidase inhibitor activity involved in apoptotic process,ribosomal protein S6 kinase activity","skeletal system development,toll-like receptor signaling pathway,apoptotic process,cell cycle,signal transduction,central nervous system development,peptidyl-serine phosphorylation,positive regulation of cell growth,response to lipopolysaccharide,intracellular signal transduction,negative regulation of apoptotic process,negative regulation of cysteine-type endopeptidase activity involved in apoptotic process,regulation of translation in response to stress,regulation of DNA-templated transcription in response to stress,positive regulation of cell differentiation,positive regulation of transcription from RNA polymerase II promoter,cellular response to stress,protein phosphorylation"
15,AGC,Hek293_XO44 / Hek293_control,Q05655,Q05655,5.33985059505471,5.33985059505471,0.0077652505851867,0.0053784317184824,6,Q05655,PRKCD,Protein kinase C delta type,KPCD_HUMAN,25,3950.0016623675,40.500016623675,Hek293_XO44,Hek293_control,"extracellular region,nucleus,nucleoplasm,cytoplasm,endoplasmic reticulum,cytosol,plasma membrane,cell-cell junction,nuclear matrix,azurophil granule lumen,perinuclear region of cytoplasm,extracellular exosome","protein kinase activity,protein serine/threonine kinase activity,protein kinase C activity,calcium-independent protein kinase C activity,non-membrane spanning protein tyrosine kinase activity,protein binding,ATP binding,enzyme activator activity,enzyme binding,kinase binding,protein kinase binding,insulin receptor substrate binding,metal ion binding","stimulatory C-type lectin receptor signaling pathway,protein phosphorylation,apoptotic process,cell cycle,signal transduction,intrinsic apoptotic signaling pathway in response to oxidative stress,regulation of receptor activity,immunoglobulin mediated immune response,histone phosphorylation,peptidyl-serine phosphorylation,peptidyl-threonine phosphorylation,peptidyl-tyrosine phosphorylation,termination of signal transduction,platelet activation,negative regulation of actin filament polymerization,positive regulation of endodeoxyribonuclease activity,negative regulation of protein binding,activation of protein kinase activity,interleukin-10 production,interleukin-12 production,positive regulation of superoxide anion generation,regulation of actin cytoskeleton organization,negative regulation of glial cell apoptotic process,positive regulation of protein dephosphorylation,Fc-gamma receptor signaling pathway involved in phagocytosis,B cell proliferation,neutrophil activation,positive regulation of protein import into nucleus,defense response to bacterium,neutrophil degranulation,negative regulation of MAP kinase activity,regulation of mRNA stability,negative regulation of insulin receptor signaling pathway,negative regulation of inflammatory response,negative regulation of peptidyl-tyrosine phosphorylation,protein stabilization,negative regulation of filopodium assembly,cell chemotaxis,interferon-gamma-mediated signaling pathway,cellular response to hydrogen peroxide,cellular response to hydroperoxide,negative regulation of platelet aggregation,cellular senescence,execution phase of apoptosis,positive regulation of phospholipid scramblase activity,cellular response to angiotensin,positive regulation of ceramide biosynthetic process,positive regulation of glucosylceramide catabolic process,positive regulation of sphingomyelin catabolic process,positive regulation of response to DNA damage stimulus,positive regulation of apoptotic signaling pathway,intracellular signal transduction"
16,AGC,Hek293_XO44 / Hek293_control,P31749,P31749,7.61468824427367,7.61468824427367,0.0027094820914235,0.0047730276111831,6,P31749,AKT1,RAC-alpha serine/threonine-protein kinase,AKT1_HUMAN,23,19499.7065535591,195.997065535591,Hek293_XO44,Hek293_control,"nucleus,nucleoplasm,cytoplasm,mitochondrion,spindle,cytosol,plasma membrane,cell-cell junction,microtubule cytoskeleton,vesicle,macromolecular complex,ciliary basal body,postsynapse","protein kinase activity,protein serine/threonine kinase activity,protein serine/threonine/tyrosine kinase activity,protein kinase C binding,protein binding,ATP binding,phosphatidylinositol-3,4,5-trisphosphate binding,kinase activity,enzyme binding,nitric-oxide synthase regulator activity,GTPase activating protein binding,identical protein binding,protein homodimerization activity,phosphatidylinositol-3,4-bisphosphate binding,protein phosphatase 2A binding,14-3-3 protein binding","protein import into nucleus, translocation,osteoblast differentiation,maternal placenta development,positive regulation of protein phosphorylation,positive regulation of endothelial cell proliferation,glycogen biosynthetic process,regulation of glycogen biosynthetic process,glucose metabolic process,translation,regulation of translation,cellular protein modification process,protein phosphorylation,negative regulation of protein kinase activity,nitric oxide biosynthetic process,activation-induced cell death of T cells,inflammatory response,cellular response to DNA damage stimulus,response to oxidative stress,signal transduction,epidermal growth factor receptor signaling pathway,G-protein coupled receptor signaling pathway,I-kappaB kinase/NF-kappaB signaling,germ cell development,aging,cell proliferation,positive regulation of cell proliferation,insulin receptor signaling pathway,apoptotic mitochondrial changes,carbohydrate transport,response to heat,negative regulation of autophagy,positive regulation of gene expression,negative regulation of gene expression,negative regulation of plasma membrane long-chain fatty acid transport,positive regulation of fibroblast migration,positive regulation of sodium ion transport,positive regulation of glucose metabolic process,positive regulation of mitochondrial membrane potential,negative regulation of endopeptidase activity,regulation of neuron projection development,phosphatidylinositol 3-kinase signaling,negative regulation of macroautophagy,phosphorylation,protein ubiquitination,peptidyl-serine phosphorylation,peptidyl-threonine phosphorylation,cytokine-mediated signaling pathway,spinal cord development,cell projection organization,cell differentiation,protein catabolic process,platelet activation,hyaluronan metabolic process,positive regulation of cell growth,regulation of cell migration,endocrine pancreas development,T cell costimulation,negative regulation of protein ubiquitination,regulation of myelination,positive regulation of cyclin-dependent protein serine/threonine kinase activity involved in G1/S transition of mitotic cell cycle,lipopolysaccharide-mediated signaling pathway,TOR signaling,negative regulation of fatty acid beta-oxidation,positive regulation of endodeoxyribonuclease activity,negative regulation of protein binding,response to food,activation of protein kinase B activity,positive regulation of cellular protein metabolic process,peripheral nervous system myelin maintenance,positive regulation of proteasomal ubiquitin-dependent protein catabolic process,cellular response to insulin stimulus,positive regulation of peptidyl-serine phosphorylation,response to fluid shear stress,cellular response to reactive oxygen species,intracellular signal transduction,interleukin-18-mediated signaling pathway,cellular response to vascular endothelial growth factor stimulus,NIK/NF-kappaB signaling,glucose homeostasis,regulation of apoptotic process,positive regulation of apoptotic process,negative regulation of apoptotic process,negative regulation of cysteine-type endopeptidase activity involved in apoptotic process,anoikis,regulation of mRNA stability,protein kinase B signaling,positive regulation of blood vessel endothelial cell migration,positive regulation of nitric oxide biosynthetic process,positive regulation of fat cell differentiation,positive regulation of glycogen biosynthetic process,positive regulation of epidermal growth factor receptor signaling pathway,negative regulation of cell size,negative regulation of proteolysis,positive regulation of transcription, DNA-templated,positive regulation of vasoconstriction,positive regulation of transcription from RNA polymerase II promoter,positive regulation of glucose import,negative regulation of JNK cascade,positive regulation of organ growth,protein autophosphorylation,positive regulation of lipid biosynthetic process,insulin-like growth factor receptor signaling pathway,positive regulation of smooth muscle cell proliferation,regulation of nitric-oxide synthase activity,positive regulation of nitric-oxide synthase activity,positive regulation of sequence-specific DNA binding transcription factor activity,striated muscle cell differentiation,cofactor metabolic process,negative regulation of protein kinase B signaling,excitatory postsynaptic potential,response to growth hormone,mammary gland epithelial cell differentiation,glycogen cell differentiation involved in embryonic placenta development,labyrinthine layer blood vessel development,response to UV-A,cellular response to mechanical stimulus,cellular response to cadmium ion,cellular response to tumor necrosis factor,cellular response to epidermal growth factor stimulus,cellular response to prostaglandin E stimulus,cellular response to organic cyclic compound,cellular response to hypoxia,negative regulation of protein serine/threonine kinase activity,establishment of protein localization to mitochondrion,maintenance of protein location in mitochondrion,negative regulation of release of cytochrome c from mitochondria,cellular response to granulocyte macrophage colony-stimulating factor stimulus,execution phase of apoptosis,negative regulation of protein kinase activity by protein phosphorylation,positive regulation of protein localization to nucleus,negative regulation of neuron death,regulation of signal transduction by p53 class mediator,negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway,positive regulation of protein localization to plasma membrane,positive regulation of I-kappaB phosphorylation,cellular response to nerve growth factor stimulus,response to insulin-like growth factor stimulus,positive regulation of protein localization to cell surface,negative regulation of extrinsic apoptotic signaling pathway in absence of ligand"
17,AGC,Hek293_XO44 / Hek293_control,Q9UBS0,Q9UBS0,5.28946022832744,5.28946022832744,0.0057318545949378,0.0049522356788108,6,Q9UBS0,RPS6KB2,Ribosomal protein S6 kinase beta-2,KS6B2_HUMAN,8,3810.98535404309,39.1098535404309,Hek293_XO44,Hek293_control,"nucleus,nucleoplasm,cytoplasm","protein kinase activity,protein serine/threonine kinase activity,ribosomal protein S6 kinase activity,ATP binding,peptide binding","translation,protein phosphorylation,signal transduction,intracellular signal transduction,protein kinase B signaling,positive regulation of translational initiation"
18,AGC,Hek293_XO44 / Hek293_control,Q9UK32,Q9UK32,4.59216676553657,4.59216676553657,0.0146674696174958,0.0065179121444526,6,Q9UK32,RPS6KA6,Ribosomal protein S6 kinase alpha-6,KS6A6_HUMAN,20,2312.01465133756,24.1201465133756,Hek293_XO44,Hek293_control,"fibrillar center,nucleus,nucleoplasm,nucleolus,cytoplasm,mitochondrion,cytosol","magnesium ion binding,protein kinase activity,protein serine/threonine kinase activity,ATP binding,kinase activity,ribosomal protein S6 kinase activity","protein phosphorylation,DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator,signal transduction,central nervous system development,negative regulation of embryonic development,negative regulation of ERK1 and ERK2 cascade,negative regulation of mesoderm development,cellular response to stress,intracellular signal transduction"
19,AGC,Hek293_XO44 / Hek293_control,Q96GX5,Q96GX5,7.52886740525355,7.52886740525355,0.0019894146488728,0.0047448318067926,6,Q96GX5,MASTL,Serine/threonine-protein kinase greatwall,GWL_HUMAN,34,18367.7897822126,184.677897822126,Hek293_XO44,Hek293_control,"nucleus,nucleoplasm,cytoplasm,centrosome,cleavage furrow","protein serine/threonine kinase activity,ATP binding,kinase activity,protein phosphatase 2A binding","G2/M transition of mitotic cell cycle,mitotic cell cycle,cellular response to DNA damage stimulus,female meiosis II,peptidyl-serine phosphorylation,negative regulation of phosphoprotein phosphatase activity,intracellular signal transduction,cell division,positive regulation of ubiquitin-protein ligase activity involved in meiotic cell cycle,regulation of cell cycle"
20,AGC,Hek293_XO44 / Hek293_control,Q6P5Z2,Q6P5Z2,5.20003310069321,5.20003310069321,0.0118437743218316,0.0061619687288208,6,Q6P5Z2,PKN3,Serine/threonine-protein kinase N3,PKN3_HUMAN,23,3575.91907403165,36.7591907403165,Hek293_XO44,Hek293_control,"nucleus,Golgi apparatus,perinuclear region of cytoplasm","protein kinase activity,protein serine/threonine kinase activity,protein kinase C activity,protein binding,ATP binding,GTP-Rho binding","protein phosphorylation,signal transduction,epithelial cell migration,peptidyl-serine phosphorylation,intracellular signal transduction"
21,AGC,Hek293_XO44 / Hek293_control,Q13464,Q13464,5.19526389545367,5.19526389545367,0.0016808528456797,0.0046412440475649,6,Q13464,ROCK1,Rho-associated protein kinase 1,ROCK1_HUMAN,63,3563.78742672216,36.6378742672216,Hek293_XO44,Hek293_control,"Golgi membrane,ruffle,extracellular region,centriole,cytosol,cytoskeleton,plasma membrane,lamellipodium,bleb,secretory granule lumen,Requires Ontology","protein kinase activity,protein serine/threonine kinase activity,protein binding,ATP binding,GTP-Rho binding,metal ion binding","apical constriction,protein phosphorylation,smooth muscle contraction,leukocyte cell-cell adhesion,signal transduction,G-protein coupled receptor signaling pathway,I-kappaB kinase/NF-kappaB signaling,Rho protein signal transduction,regulation of autophagy,positive regulation of autophagy,positive regulation of gene expression,negative regulation of angiogenesis,membrane to membrane docking,actin cytoskeleton organization,regulation of cell adhesion,cortical actin cytoskeleton organization,neuron projection development,bleb assembly,negative regulation of protein binding,regulation of actin cytoskeleton organization,negative regulation of myosin-light-chain-phosphatase activity,neutrophil degranulation,negative regulation of neuron apoptotic process,regulation of keratinocyte differentiation,regulation of neuron differentiation,vascular endothelial growth factor receptor signaling pathway,ephrin receptor signaling pathway,leukocyte migration,leukocyte tethering or rolling,negative regulation of membrane protein ectodomain proteolysis,myoblast migration,regulation of stress fiber assembly,regulation of focal adhesion assembly,positive regulation of focal adhesion assembly,protein localization to plasma membrane,execution phase of apoptosis,Requires Ontology,positive regulation of beta-amyloid clearance,regulation of synaptic vesicle endocytosis,regulation of beta-amyloid formation,negative regulation of beta-amyloid formation,negative regulation of amyloid precursor protein catabolic process,regulation of establishment of endothelial barrier,negative regulation of bicellular tight junction assembly,regulation of establishment of cell polarity,regulation of cell motility"
22,AGC,Hek293_XO44 / Hek293_control,Q6P0Q8,Q6P0Q8,5.15697232972572,5.15697232972572,0.0027066448657709,0.0047730276111831,6,Q6P0Q8,MAST2,Microtubule-associated serine/threonine-protein kinase 2,MAST2_HUMAN,46,3467.82346994314,35.6782346994314,Hek293_XO44,Hek293_control,"cytoplasm,plasma membrane,microtubule cytoskeleton","magnesium ion binding,protein serine/threonine kinase activity,protein binding,ATP binding,microtubule binding,phosphatase binding","protein phosphorylation,cytoskeleton organization,peptidyl-serine phosphorylation,intracellular signal transduction,regulation of interleukin-12 biosynthetic process,spermatid differentiation"
23,AGC,Hek293_XO44 / Hek293_control,P05771,P05771,4.71105274073124,4.71105274073124,0.0106745243804237,0.0059635004295869,6,P05771,PRKCB,Protein kinase C beta type,KPCB_HUMAN,20,2519.19712956341,26.1919712956341,Hek293_XO44,Hek293_control,"nucleus,nucleoplasm,cytoplasm,cytosol,plasma membrane,extracellular exosome","chromatin binding,protein serine/threonine kinase activity,protein kinase C activity,calcium-dependent protein kinase C activity,protein kinase C binding,calcium channel regulator activity,protein binding,ATP binding,zinc ion binding,ligand-dependent nuclear receptor transcription coactivator activity,histone kinase activity (H3-T6 specific),histone binding,androgen receptor binding","response to hypoxia,adaptive immune response,transcription, DNA-templated,regulation of transcription from RNA polymerase II promoter,protein phosphorylation,calcium ion transport,cellular calcium ion homeostasis,apoptotic process,mitotic nuclear envelope disassembly,signal transduction,negative regulation of glucose transport,peptidyl-serine phosphorylation,platelet activation,positive regulation of vascular endothelial growth factor receptor signaling pathway,histone H3-T6 phosphorylation,intracellular signal transduction,B cell activation,lipoprotein transport,positive regulation of I-kappaB kinase/NF-kappaB signaling,regulation of myeloid cell differentiation,positive regulation of angiogenesis,negative regulation of insulin receptor signaling pathway,B cell receptor signaling pathway,positive regulation of B cell receptor signaling pathway,positive regulation of NF-kappaB transcription factor activity,cellular response to carbohydrate stimulus"
