Comparison (group1/group2),Group,ProteinGroups,AVG Log2 Ratio,Absolute AVG Log2 Ratio,Pvalue,Qvalue,# of Ratios,UniProtIds,Genes,ProteinDescriptions,ProteinNames,# Unique Total Peptides,% Change,Ratio,Condition Numerator,GO Cellular Component,GO Molecular Function,GO Biological Process,Kinase Classification
XO44 / control,O75582,O75582,8.39493874655386,8.39493874655386,3.74698629289634E-06,3.39291707228664E-07,12,O75582,RPS6KA5,Ribosomal protein S6 kinase alpha-5,KS6A5_HUMAN,25,33561.105459358,336.61105459358,XO44,"nucleus,nucleoplasm,cytoplasm","magnesium ion binding,protein kinase activity,protein serine/threonine kinase activity,protein binding,ATP binding","negative regulation of cytokine production,stimulatory C-type lectin receptor signaling pathway,regulation of transcription, DNA-templated,protein phosphorylation,inflammatory response,epidermal growth factor receptor signaling pathway,axon guidance,histone phosphorylation,positive regulation of CREB transcription factor activity,positive regulation of histone phosphorylation,positive regulation of histone acetylation,intracellular signal transduction,histone H3-S10 phosphorylation,histone H3-S28 phosphorylation,histone H2A-S1 phosphorylation,negative regulation of transcription, DNA-templated,positive regulation of transcription from RNA polymerase II promoter,positive regulation of NF-kappaB transcription factor activity,interleukin-1-mediated signaling pathway",AGC
XO44 / control,P23443,P23443,8.86553697671426,8.86553697671426,0.000449231807723942,1.32405164381793E-05,12,P23443,RPS6KB1,Ribosomal protein S6 kinase beta-1,KS6B1_HUMAN,13,46543.6531988254,466.436531988254,XO44,"nucleus,nucleoplasm,mitochondrion,mitochondrial outer membrane,cytosol,cell surface,cell junction,neuron projection,synapse,perinuclear region of cytoplasm,cytoplasm","protein kinase activity,protein serine/threonine kinase activity,ribosomal protein S6 kinase activity,protein serine/threonine/tyrosine kinase activity,protein binding,ATP binding,kinase activity,PDZ domain binding,peptide binding,identical protein binding,protein phosphatase 2A binding","G1/S transition of mitotic cell cycle,behavioral fear response,skeletal muscle contraction,protein phosphorylation,apoptotic process,signal transduction,germ cell development,aging,response to nutrient,long-term memory,response to heat,response to wounding,response to mechanical stimulus,response to glucose,skeletal muscle atrophy,response to electrical stimulus involved in regulation of muscle adaptation,positive regulation of smooth muscle cell migration,cell migration,TOR signaling,response to lipopolysaccharide,cellular response to insulin stimulus,response to testosterone,response to glucagon,response to tumor necrosis factor,negative regulation of apoptotic process,response to leucine,protein kinase B signaling,response to ethanol,positive regulation of translation,positive regulation of mitotic cell cycle,positive regulation of translational initiation,regulation of glucose import,negative regulation of insulin receptor signaling pathway,phosphatidylinositol-mediated signaling,positive regulation of skeletal muscle tissue growth,positive regulation of smooth muscle cell proliferation,cellular response to growth factor stimulus,cellular response to dexamethasone stimulus,negative regulation of extrinsic apoptotic signaling pathway,intracellular signal transduction",AGC
XO44 / control,Q04759,Q04759,7.46989895202227,7.46989895202227,0.000986837298045095,2.75253709644727E-05,12,Q04759,PRKCQ,Protein kinase C theta type,KPCT_HUMAN,5,17628.1594481752,177.281594481752,XO44,"immunological synapse,intracellular,microtubule organizing center,cytosol,plasma membrane,aggresome","protein kinase activity,protein serine/threonine kinase activity,protein kinase C activity,protein binding,ATP binding,metal ion binding","regulation of cell growth,regulation of transcription, DNA-templated,membrane protein ectodomain proteolysis,inflammatory response,axon guidance,peptidyl-serine phosphorylation,platelet activation,positive regulation of telomere maintenance via telomerase,positive regulation of interleukin-17 production,positive regulation of interleukin-4 production,intracellular signal transduction,Fc-epsilon receptor signaling pathway,positive regulation of T cell proliferation,positive regulation of interleukin-2 biosynthetic process,regulation of megakaryocyte differentiation,negative regulation of insulin receptor signaling pathway,T cell receptor signaling pathway,positive regulation of T cell activation,positive regulation of NF-kappaB transcription factor activity,positive regulation of telomerase activity,cell chemotaxis,negative regulation of T cell apoptotic process,regulation of platelet aggregation,execution phase of apoptosis,positive regulation of telomere capping,positive regulation of T-helper 17 type immune response,positive regulation of T-helper 2 cell activation",AGC
XO44 / control,Q96BR1,Q96BR1,7.85755687044006,7.85755687044006,2.07415763195516E-06,2.17614052411308E-07,12,Q96BR1,SGK3,Serine/threonine-protein kinase Sgk3,SGK3_HUMAN,9,23093.1806471411,231.931806471411,XO44,"early endosome,cytosol,cytoplasmic vesicle,recycling endosome","protein kinase activity,protein serine/threonine kinase activity,calcium channel regulator activity,protein binding,ATP binding,potassium channel regulator activity,sodium channel regulator activity,chloride channel regulator activity,phosphatidylinositol binding","regulation of cell growth,protein phosphorylation,peptidyl-serine phosphorylation,regulation of cell migration,positive regulation of transporter activity,ion transmembrane transport,intracellular signal transduction,regulation of cell proliferation,regulation of apoptotic process,regulation of sequence-specific DNA binding transcription factor activity",AGC
XO44 / control,Q9Y243,Q9Y243,8.41134575621202,8.41134575621202,0.000210056621289356,6.67621819601831E-06,12,Q9Y243,AKT3,RAC-gamma serine/threonine-protein kinase,AKT3_HUMAN,17,33946.1004782967,340.461004782967,XO44,"intracellular,nucleus,cytoplasm,membrane","protein kinase activity,protein serine/threonine kinase activity,protein binding,ATP binding","mitochondrial genome maintenance,positive regulation of endothelial cell proliferation,protein phosphorylation,signal transduction,peptidyl-serine phosphorylation,positive regulation of TOR signaling,intracellular signal transduction,positive regulation of blood vessel endothelial cell migration,positive regulation of cell size,brain morphogenesis,homeostasis of number of cells within a tissue,positive regulation of cell migration involved in sprouting angiogenesis,Requires Ontology,negative regulation of cellular senescence",AGC
XO44 / control,Q16512,Q16512,8.41934145425129,8.41934145425129,7.86699657748443E-06,5.50099642311764E-07,12,Q16512,PKN1,Serine/threonine-protein kinase N1,PKN1_HUMAN,35,34135.3144710998,342.353144710998,XO44,"nucleus,nucleoplasm,cytoplasm,endosome,cytosol,midbody,cleavage furrow","chromatin binding,protein kinase activity,protein serine/threonine kinase activity,protein kinase C activity,protein kinase C binding,protein binding,ATP binding,GTP-Rho binding,ligand-dependent nuclear receptor transcription coactivator activity,histone kinase activity (H3-T11 specific),histone binding,histone deacetylase binding,Rac GTPase binding,androgen receptor binding","B cell homeostasis,B cell apoptotic process,regulation of germinal center formation,regulation of immunoglobulin production,renal system process,transcription, DNA-templated,regulation of transcription from RNA polymerase II promoter,protein phosphorylation,negative regulation of protein kinase activity,hyperosmotic response,signal transduction,activation of JUN kinase activity,epithelial cell migration,peptidyl-serine phosphorylation,negative regulation of B cell proliferation,histone H3-T11 phosphorylation,spleen development,regulation of cell motility,intracellular signal transduction",AGC
XO44 / control,P51812,P51812,9.11109708459366,9.11109708459366,1.10336720475189E-06,1.28256941176101E-07,12,P51812,RPS6KA3,Ribosomal protein S6 kinase alpha-3,KS6A3_HUMAN,34,55198.5209920634,552.985209920634,XO44,"nucleus,nucleoplasm,cytoplasm,cytosol","magnesium ion binding,protein kinase activity,protein serine/threonine kinase activity,protein binding,ATP binding,kinase activity,protein kinase binding,cysteine-type endopeptidase inhibitor activity involved in apoptotic process,ribosomal protein S6 kinase activity","skeletal system development,toll-like receptor signaling pathway,apoptotic process,cell cycle,signal transduction,central nervous system development,peptidyl-serine phosphorylation,positive regulation of cell growth,response to lipopolysaccharide,intracellular signal transduction,negative regulation of apoptotic process,negative regulation of cysteine-type endopeptidase activity involved in apoptotic process,regulation of translation in response to stress,regulation of DNA-templated transcription in response to stress,positive regulation of cell differentiation,positive regulation of transcription from RNA polymerase II promoter,cellular response to stress,protein phosphorylation",AGC
XO44 / control,Q02156,Q02156,6.87559094499409,6.87559094499409,0.0144923166437396,0.000369583692620693,5,Q02156,PRKCE,Protein kinase C epsilon type,KPCE_HUMAN,2,11642.4606191625,117.424606191625,XO44,"nucleus,cytoplasm,mitochondrion,endoplasmic reticulum,cytosol,cytoskeleton,plasma membrane,perinuclear region of cytoplasm,cell periphery,Golgi apparatus","actin monomer binding,protein serine/threonine kinase activity,protein kinase C activity,calcium-independent protein kinase C activity,signal transducer activity,protein binding,ATP binding,enzyme activator activity,enzyme binding,receptor activator activity,ethanol binding,metal ion binding,14-3-3 protein binding","macrophage activation involved in immune response,protein phosphorylation,apoptotic process,cell cycle,cell adhesion,signal transduction,positive regulation of epithelial cell migration,positive regulation of fibroblast migration,positive regulation of cell-substrate adhesion,peptidyl-serine phosphorylation,platelet activation,positive regulation of actin filament polymerization,negative regulation of protein ubiquitination,lipopolysaccharide-mediated signaling pathway,positive regulation of insulin secretion,positive regulation of synaptic transmission, GABAergic,positive regulation of cytokinesis,intracellular signal transduction,locomotory exploration behavior,TRAM-dependent toll-like receptor 4 signaling pathway,Fc-gamma receptor signaling pathway involved in phagocytosis,positive regulation of catalytic activity,positive regulation of I-kappaB kinase/NF-kappaB signaling,response to morphine,positive regulation of MAPK cascade,regulation of peptidyl-tyrosine phosphorylation,positive regulation of lipid catabolic process,release of sequestered calcium ion into cytosol,regulation of release of sequestered calcium ion into cytosol,cell division,regulation of insulin secretion involved in cellular response to glucose stimulus,positive regulation of mucus secretion,cellular response to ethanol,cellular response to prostaglandin E stimulus,cellular response to hypoxia,positive regulation of wound healing,positive regulation of protein localization to plasma membrane,positive regulation of receptor activity,negative regulation of sodium ion transmembrane transporter activity,positive regulation of cellular glucuronidation",AGC
XO44 / control,Q9Y5S2,Q9Y5S2,8.46014269206408,8.46014269206408,9.37827241696661E-06,6.15566422794606E-07,12,Q9Y5S2,CDC42BPB,Serine/threonine-protein kinase MRCK beta,MRCKB_HUMAN,52,35117.3536008989,352.173536008989,XO44,"cytoplasm,cytoskeleton,plasma membrane,cell-cell junction,lamellipodium,cell leading edge,actomyosin,extracellular exosome","magnesium ion binding,protein kinase activity,protein serine/threonine kinase activity,ATP binding,Rho GTPase binding,macromolecular complex binding","protein phosphorylation,cytoskeleton organization,establishment or maintenance of cell polarity,signal transduction,cell migration,actomyosin structure organization,actin cytoskeleton reorganization,intracellular signal transduction",AGC
XO44 / control,Q15208,Q15208,8.5654777798228,8.5654777798228,3.44408589667578E-06,3.20198462049222E-07,12,Q15208,STK38,Serine/threonine-protein kinase 38,STK38_HUMAN,12,37784.8645558985,378.848645558985,XO44,"nucleus,cytoplasm,cytosol","magnesium ion binding,protein serine/threonine kinase activity,protein binding,ATP binding,mitogen-activated protein kinase kinase kinase binding,cadherin binding","cellular protein modification process,protein phosphorylation,peptidyl-serine phosphorylation,intracellular signal transduction,negative regulation of MAP kinase activity",AGC
XO44 / control,P17252,P17252,7.81026694959217,7.81026694959217,1.60072254620886E-05,8.66724593457116E-07,12,P17252,PRKCA,Protein kinase C alpha type,KPCA_HUMAN,20,22345.2592480345,224.452592480345,XO44,"nucleoplasm,cytoplasm,mitochondrion,endoplasmic reticulum,cytosol,plasma membrane,mitochondrial membrane,alphav-beta3 integrin-PKCalpha complex,perinuclear region of cytoplasm,extracellular exosome","protein kinase activity,protein serine/threonine kinase activity,protein kinase C activity,calcium-dependent protein kinase C activity,integrin binding,protein binding,ATP binding,zinc ion binding,enzyme binding,histone kinase activity (H3-T6 specific)","angiogenesis,positive regulation of endothelial cell proliferation,desmosome assembly,protein phosphorylation,mitotic nuclear envelope disassembly,cell adhesion,axon guidance,positive regulation of endothelial cell migration,positive regulation of cardiac muscle hypertrophy,peptidyl-serine phosphorylation,platelet activation,positive regulation of cell migration,positive regulation of lipopolysaccharide-mediated signaling pathway,negative regulation of glial cell apoptotic process,histone H3-T6 phosphorylation,intracellular signal transduction,ERBB2 signaling pathway,regulation of mRNA stability,positive regulation of blood vessel endothelial cell migration,positive regulation of macrophage differentiation,positive regulation of angiogenesis,positive regulation of bone resorption,positive regulation of cell adhesion,positive regulation of mitotic cell cycle,regulation of insulin secretion,positive regulation of ERK1 and ERK2 cascade,response to interleukin-1,regulation of platelet aggregation,apoptotic signaling pathway,Requires Ontology,positive regulation of dense core granule biogenesis",AGC
XO44 / control,Q15418,Q15418,8.53226543147354,8.53226543147354,1.22710425080662E-05,7.30585872796392E-07,12,Q15418,RPS6KA1,Ribosomal protein S6 kinase alpha-1,KS6A1_HUMAN,26,36922.6776599787,370.226776599787,XO44,"nucleus,nucleoplasm,cytoplasm,cytosol","magnesium ion binding,protein serine/threonine kinase activity,protein serine/threonine/tyrosine kinase activity,protein binding,ATP binding,kinase activity,cysteine-type endopeptidase inhibitor activity involved in apoptotic process,ribosomal protein S6 kinase activity","protein phosphorylation,apoptotic process,cell cycle,signal transduction,positive regulation of cell growth,intracellular signal transduction,negative regulation of apoptotic process,negative regulation of cysteine-type endopeptidase activity involved in apoptotic process,regulation of translation in response to stress,regulation of DNA-templated transcription in response to stress,positive regulation of cell differentiation,positive regulation of transcription from RNA polymerase II promoter,hepatocyte proliferation,positive regulation of hepatic stellate cell activation,cellular response to stress",AGC
XO44 / control,Q6DT37,Q6DT37,5.49912404893931,5.49912404893931,0.00782966612313791,0.000202725804261859,12,Q6DT37,CDC42BPG,Serine/threonine-protein kinase MRCK gamma,MRCKG_HUMAN,9,4422.7365274642,45.227365274642,XO44,"microtubule organizing center,cytosol,cell leading edge","magnesium ion binding,protein serine/threonine kinase activity,protein binding,ATP binding","protein phosphorylation,actin cytoskeleton reorganization,intracellular signal transduction",AGC
