HGNC ,Kinase Classification,Comparison (group1/group2),Group,ProteinGroups,AVG Log2 Ratio,Absolute AVG Log2 Ratio,Pvalue,Qvalue,# of Ratios,UniProtIds,Genes,ProteinDescriptions,ProteinNames,# Unique Total Peptides,% Change,Ratio,Condition Numerator,Condition Denominator,GO Cellular Component,GO Molecular Function,GO Biological Process
,,HeLa_XO44 / Hek293_XO44,Q9H015,Q9H015,5.201359794553847,5.201359794553847,0.0158326873883272,0.0066664530163736,6,Q9H015,SLC22A4,Solute carrier family 22 member 4,S22A4_HUMAN,4,3579.3009823103025,36.79300982310303,HeLa_XO44,Hek293_XO44,"mitochondrion,plasma membrane,integral component of plasma membrane,apical plasma membrane,integral component of membrane","nucleotide binding,protein binding,ATP binding,secondary active organic cation transmembrane transporter activity,organic anion transmembrane transporter activity,carnitine transmembrane transporter activity,symporter activity,cation:cation antiporter activity,quaternary ammonium group transmembrane transporter activity,PDZ domain binding,substrate-specific transmembrane transporter activity,sodium-independent organic anion transmembrane transporter activity,inorganic anion exchanger activity","triglyceride metabolic process,sodium ion transport,body fluid secretion,carnitine metabolic process,organic cation transport,quaternary ammonium group transport,organic anion transport,carnitine transport,carnitine transmembrane transport,sodium-independent organic anion transport,transmembrane transport"
,,HeLa_XO44 / Hek293_XO44,Q14116,Q14116,5.151739346944368,5.151739346944368,0.0199874786092652,0.0072681873890472,6,Q14116,IL18,Interleukin-18,IL18_HUMAN,8,3454.9056055692063,35.54905605569206,HeLa_XO44,Hek293_XO44,"extracellular region,extracellular space,cytosol,extracellular exosome","cytokine activity,protein binding","MAPK cascade,angiogenesis,inflammatory response,immune response,cell-cell signaling,cell proliferation,regulation of receptor activity,positive regulation of macrophage derived foam cell differentiation,positive regulation of phosphatidylinositol 3-kinase signaling,cytokine-mediated signaling pathway,natural killer cell activation,regulation of cell adhesion,sleep,lipopolysaccharide-mediated signaling pathway,activation of protein kinase B activity,interleukin-6 production,positive regulation of granulocyte macrophage colony-stimulating factor production,positive regulation of interferon-gamma production,positive regulation of interleukin-17 production,positive regulation of natural killer cell proliferation,positive regulation of tissue remodeling,interleukin-18-mediated signaling pathway,T-helper 1 cell cytokine production,chemokine biosynthetic process,T-helper 1 type immune response,type 2 immune response,interleukin-2 biosynthetic process,interferon-gamma biosynthetic process,positive regulation of activated T cell proliferation,neutrophil activation,interleukin-13 biosynthetic process,granulocyte macrophage colony-stimulating factor biosynthetic process,natural killer cell mediated cytotoxicity,positive regulation of NF-kappaB import into nucleus,positive regulation of tyrosine phosphorylation of STAT protein,cholesterol homeostasis,positive regulation of T-helper 2 cell differentiation,negative regulation of myoblast differentiation,positive regulation of transcription from RNA polymerase II promoter,positive regulation of smooth muscle cell proliferation,positive regulation of inflammatory response,positive regulation of NK T cell proliferation,positive regulation of protein kinase B signaling,triglyceride homeostasis,cellular response to organic cyclic compound"
,,HeLa_XO44 / Hek293_XO44,Q96IR7,Q96IR7,5.104506202912948,5.104506202912948,0.0170555086532648,0.0068315048050716,6,Q96IR7,HPDL,4-hydroxyphenylpyruvate dioxygenase-like protein,HPDL_HUMAN,13,3340.404286777637,34.40404286777637,HeLa_XO44,Hek293_XO44,,"metal ion binding,4-hydroxyphenylpyruvate dioxygenase activity","oxidation-reduction process,tyrosine catabolic process"
,,HeLa_XO44 / Hek293_XO44,P43355,P43355,4.905819186399045,4.905819186399045,0.0189593966775924,0.0070907399455285,6,P43355,MAGEA1,Melanoma-associated antigen 1,MAGA1_HUMAN,10,2897.772894257701,29.97772894257701,HeLa_XO44,Hek293_XO44,"nucleus,cytoplasm,plasma membrane","protein binding,histone deacetylase binding","negative regulation of transcription from RNA polymerase II promoter,transcription, DNA-templated,negative regulation of Notch signaling pathway"
,,HeLa_XO44 / Hek293_XO44,P00966,P00966,4.872608912759148,4.872608912759148,0.0219866878118275,0.0076162249522084,6,P00966,ASS1,Argininosuccinate synthase,ASSY_HUMAN,27,2829.553542531656,29.29553542531656,HeLa_XO44,Hek293_XO44,"cytoplasm,mitochondrion,cytosol,myelin sheath,extracellular exosome","RNA binding,argininosuccinate synthase activity,protein binding,ATP binding,amino acid binding,identical protein binding","urea cycle,citrulline metabolic process,argininosuccinate metabolic process,arginine biosynthetic process,aspartate metabolic process,circadian rhythm,positive regulation of nitric oxide biosynthetic process,cellular response to laminar fluid shear stress,negative regulation of leukocyte cell-cell adhesion"
,,HeLa_XO44 / Hek293_XO44,Q8N884,Q8N884,4.85087139522294,4.85087139522294,0.0089859133289108,0.0056383662214203,6,Q8N884,CGAS,Cyclic GMP-AMP synthase,CGAS_HUMAN,19,2785.74395825797,28.8574395825797,HeLa_XO44,Hek293_XO44,cytosol,"DNA binding,chromatin binding,double-stranded DNA binding,protein binding,ATP binding,GTP binding,metal ion binding,cyclic-GMP-AMP synthase activity","activation of innate immune response,positive regulation of defense response to virus by host,cellular response to DNA damage stimulus,cyclic nucleotide biosynthetic process,positive regulation of type I interferon production,paracrine signaling,innate immune response,defense response to virus,cellular response to exogenous dsRNA,positive regulation of cellular senescence"
,,HeLa_XO44 / Hek293_XO44,Q9Y2T3,Q9Y2T3,4.805394187829362,4.805394187829362,0.0050146617508277,0.0048531967833839,6,Q9Y2T3,GDA,Guanine deaminase,GUAD_HUMAN,21,2696.1971680308698,27.961971680308697,HeLa_XO44,Hek293_XO44,"intracellular,cytosol,extracellular exosome","protein binding,zinc ion binding,guanine deaminase activity,deaminase activity","nucleobase-containing compound metabolic process,guanine catabolic process,purine nucleotide catabolic process,nervous system development,guanine metabolic process"
,,HeLa_XO44 / Hek293_XO44,O60669,O60669,4.797372589303134,4.797372589303134,0.0159655140413865,0.0066873220889274,6,O60669,SLC16A7,Monocarboxylate transporter 2,MOT2_HUMAN,7,2680.693039386128,27.80693039386128,HeLa_XO44,Hek293_XO44,"plasma membrane,integral component of plasma membrane,integral component of membrane","pyruvate secondary active transmembrane transporter activity,monocarboxylic acid transmembrane transporter activity,lactate transmembrane transporter activity,symporter activity,pyruvate transmembrane transporter activity,transporter activity","lactate transmembrane transport,pyruvate transmembrane transport,monocarboxylic acid transport"
,,HeLa_XO44 / Hek293_XO44,P21291,P21291,4.757404997776115,4.757404997776115,0.0071370426511487,0.005238161389039,6,P21291,CSRP1,Cysteine and glycine-rich protein 1,CSRP1_HUMAN,9,2604.7155996143965,27.047155996143964,HeLa_XO44,Hek293_XO44,"nucleus,focal adhesion,extracellular exosome","RNA binding,zinc ion binding",platelet aggregation
,,HeLa_XO44 / Hek293_XO44,P17342,P17342,4.667165329111534,4.667165329111534,0.0082762139978262,0.0054861569096636,6,P17342,NPR3,Atrial natriuretic peptide receptor 3,ANPRC_HUMAN,14,2440.7197221922497,25.407197221922495,HeLa_XO44,Hek293_XO44,"intracellular,integral component of plasma membrane,macromolecular complex,extracellular exosome","protein binding,G-protein coupled peptide receptor activity,natriuretic peptide receptor activity,peptide hormone binding,chloride ion binding,peptide binding,hormone binding,protein homodimerization activity","skeletal system development,osteoclast proliferation,adenylate cyclase-inhibiting G-protein coupled receptor signaling pathway,negative regulation of adenylate cyclase activity,phospholipase C-activating G-protein coupled receptor signaling pathway,regulation of blood pressure,pancreatic juice secretion,regulation of osteoblast proliferation,positive regulation of urine volume,phosphatidylinositol-mediated signaling,negative regulation of smooth muscle cell proliferation,positive regulation of nitric-oxide synthase activity"
AXL,TK,HeLa_XO44 / Hek293_XO44,P30530,P30530,4.661811043517442,4.661811043517442,0.003654594366001,0.004776387277119,6,P30530,AXL,Tyrosine-protein kinase receptor UFO,UFO_HUMAN,29,2431.3078049192864,25.313078049192864,HeLa_XO44,Hek293_XO44,"extracellular space,intracellular,plasma membrane,integral component of plasma membrane,cell surface,host cell surface,extracellular exosome,receptor complex,cytoplasm","virus receptor activity,phosphatidylserine binding,protein tyrosine kinase activity,transmembrane receptor protein tyrosine kinase activity,protein binding,ATP binding,myosin heavy chain binding,phosphatidylinositol 3-kinase binding,protein heterodimerization activity,signal transducer activity,MAP kinase kinase kinase activity,mitogen-activated protein kinase kinase binding,transmembrane signaling receptor activity","neuron migration,natural killer cell differentiation,positive regulation of cytokine-mediated signaling pathway,blood vessel remodeling,phagocytosis,inflammatory response,signal transduction,spermatogenesis,peptidyl-tyrosine phosphorylation,forebrain cell migration,platelet activation,animal organ regeneration,cellular response to extracellular stimulus,negative regulation of interferon-gamma production,negative regulation of tumor necrosis factor production,positive regulation of natural killer cell differentiation,secretion by cell,erythrocyte homeostasis,substrate adhesion-dependent cell spreading,cellular response to interferon-alpha,ovulation cycle,apoptotic cell clearance,protein kinase B signaling,negative regulation of neuron apoptotic process,innate immune response,viral entry into host cell,vascular endothelial growth factor receptor signaling pathway,cell maturation,positive regulation of pinocytosis,negative regulation of lymphocyte activation,positive regulation of protein kinase B signaling,vagina development,cellular response to hydrogen peroxide,cellular response to lipopolysaccharide,dendritic cell differentiation,neutrophil clearance,negative regulation of dendritic cell apoptotic process,positive regulation of kinase activity,negative regulation of apoptotic process,negative regulation of signal transduction,positive regulation of MAPK cascade,multicellular organism development,cell differentiation,positive regulation of ERK1 and ERK2 cascade"
,,HeLa_XO44 / Hek293_XO44,P02461,P02461,4.508683120347989,4.508683120347989,0.0020783218261816,0.0047730276111831,6,P02461,COL3A1,Collagen alpha-1(III) chain,CO3A1_HUMAN,8,2176.401484592413,22.76401484592413,HeLa_XO44,Hek293_XO44,"extracellular region,collagen type III trimer,extracellular space,endoplasmic reticulum lumen,extracellular matrix","protease binding,integrin binding,extracellular matrix structural constituent,protein binding,SMAD binding,metal ion binding,platelet-derived growth factor binding","skeletal system development,cell-matrix adhesion,transforming growth factor beta receptor signaling pathway,integrin-mediated signaling pathway,heart development,aging,response to radiation,response to mechanical stimulus,peptide cross-linking,cerebral cortex development,platelet activation,extracellular matrix organization,collagen fibril organization,collagen catabolic process,response to cytokine,positive regulation of Rho protein signal transduction,wound healing,skin development,digestive tract development,regulation of immune response,negative regulation of immune response,aorta smooth muscle tissue morphogenesis,cellular response to amino acid stimulus,fibril organization,negative regulation of neuron migration"
,,HeLa_XO44 / Hek293_XO44,Q9UBG0,Q9UBG0,4.505925328102023,4.505925328102023,0.0243200498934647,0.0080099587773719,6,Q9UBG0,MRC2,C-type mannose receptor 2,MRC2_HUMAN,23,2172.054172247657,22.72054172247657,HeLa_XO44,Hek293_XO44,"integral component of plasma membrane,focal adhesion,membrane","transmembrane signaling receptor activity,protein binding,collagen binding,carbohydrate binding","osteoblast differentiation,endocytosis,signal transduction,collagen catabolic process"
,,HeLa_XO44 / Hek293_XO44,P06858,P06858,4.493221094977923,4.493221094977923,0.0231166284408267,0.0078137275112133,6,P06858,LPL,Lipoprotein lipase,LIPL_HUMAN,14,2152.134516754103,22.521345167541032,HeLa_XO44,Hek293_XO44,"extracellular region,extracellular space,plasma membrane,cell surface,extracellular matrix,anchored component of membrane,very-low-density lipoprotein particle,chylomicron,extracellular exosome","lipoprotein lipase activity,phospholipase activity,triglyceride lipase activity,receptor binding,protein binding,heparin binding,triglyceride binding,apolipoprotein binding","retinoid metabolic process,fatty acid biosynthetic process,triglyceride metabolic process,phospholipid metabolic process,response to cold,response to glucose,positive regulation of macrophage derived foam cell differentiation,positive regulation of cholesterol storage,positive regulation of sequestering of triglyceride,triglyceride biosynthetic process,triglyceride catabolic process,chylomicron remodeling,very-low-density lipoprotein particle remodeling,response to drug,cholesterol homeostasis,positive regulation of inflammatory response,regulation of lipoprotein lipase activity,low-density lipoprotein particle mediated signaling,triglyceride homeostasis,positive regulation of chemokine secretion"
,,HeLa_XO44 / Hek293_XO44,Q9HBG4,Q9HBG4,4.370494235738062,4.370494235738062,0.0228156323195324,0.0077519058056451,6,Q9HBG4,ATP6V0A4,V-type proton ATPase 116 kDa subunit a 4,VPP4_HUMAN,8,1968.4730212309244,20.684730212309244,HeLa_XO44,Hek293_XO44,"vacuolar proton-transporting V-type ATPase, V0 domain,lysosomal membrane,endosome,plasma membrane,endosome membrane,integral component of membrane,apical plasma membrane,phagocytic vesicle membrane,brush border membrane,apical part of cell,extracellular exosome,vacuolar proton-transporting V-type ATPase complex","protein binding,proton-transporting ATPase activity, rotational mechanism,ATPase binding","ossification,regulation of pH,vacuolar acidification,excretion,sensory perception of sound,insulin receptor signaling pathway,ATP synthesis coupled proton transport,ATP hydrolysis coupled proton transport,transferrin transport,ion transmembrane transport,vacuolar proton-transporting V-type ATPase complex assembly,phagosome acidification,hydrogen ion transmembrane transport"
,,HeLa_XO44 / Hek293_XO44,P11169,P11169,4.346358531125767,4.346358531125767,0.0161711026616094,0.0067163228564273,6,P11169,SLC2A3,"Solute carrier family 2, facilitated glucose transporter member 3",GTR3_HUMAN,5,1934.1561580699668,20.34156158069967,HeLa_XO44,Hek293_XO44,"plasma membrane,integral component of plasma membrane,integral component of membrane,secretory granule membrane,specific granule membrane,extracellular exosome,tertiary granule membrane,ficolin-1-rich granule membrane","glucose transmembrane transporter activity,glucose binding,dehydroascorbic acid transporter activity,D-glucose transmembrane transporter activity","carbohydrate metabolic process,L-ascorbic acid metabolic process,neutrophil degranulation,dehydroascorbic acid transport,glucose transmembrane transport"
,,HeLa_XO44 / Hek293_XO44,Q8N3V7,Q8N3V7,4.336565196650753,4.336565196650753,0.0067044218220095,0.0051432037590087,6,Q8N3V7,SYNPO,Synaptopodin,SYNPO_HUMAN,12,1920.39461517052,20.2039461517052,HeLa_XO44,Hek293_XO44,"nucleus,bicellular tight junction,postsynaptic density,actin cytoskeleton,Z disc,dendritic spine,perikaryon,postsynaptic membrane,spine apparatus,stress fiber","actin binding,protein binding","visual learning,positive regulation of actin filament bundle assembly,regulation of long-term neuronal synaptic plasticity,modification of dendritic spine,spine apparatus assembly"
,,HeLa_XO44 / Hek293_XO44,Q01995,Q01995,4.30865483984035,4.30865483984035,0.0313785077348139,0.0093872445503724,6,Q01995,TAGLN,Transgelin,TAGL_HUMAN,12,1881.683748256361,19.81683748256361,HeLa_XO44,Hek293_XO44,cytoplasm,"protein binding,actin filament binding","muscle organ development,epithelial cell differentiation"
,,HeLa_XO44 / Hek293_XO44,Q8IVT2,Q8IVT2,4.241023696874636,4.241023696874636,0.0206839624986131,0.0073899528975674,6,Q8IVT2,MISP,Mitotic interactor and substrate of PLK1,MISP_HUMAN,30,1790.9295341551765,18.909295341551765,HeLa_XO44,Hek293_XO44,"cytoskeleton,plasma membrane,focal adhesion,cell cortex,intracellular membrane-bounded organelle",actin binding,"cell cycle,cell division"
,,HeLa_XO44 / Hek293_XO44,P17813,P17813,4.240849676034669,4.240849676034669,0.0271682789828397,0.0085463198054623,6,P17813,ENG,Endoglin,EGLN_HUMAN,9,1790.7014601053545,18.907014601053543,HeLa_XO44,Hek293_XO44,"extracellular space,focal adhesion,external side of plasma membrane,receptor complex,transforming growth factor beta receptor homodimeric complex,endothelial microparticle","transmembrane signaling receptor activity,transforming growth factor beta receptor, cytoplasmic mediator activity,type II transforming growth factor beta receptor binding,protein binding,galactose binding,glycosaminoglycan binding,type I transforming growth factor beta receptor binding,identical protein binding,protein homodimerization activity,activin binding,transforming growth factor beta binding,BMP binding","chronological cell aging,patterning of blood vessels,vasculogenesis,positive regulation of protein phosphorylation,heart looping,outflow tract septum morphogenesis,epithelial to mesenchymal transition involved in endocardial cushion formation,endocardial cushion morphogenesis,cardiac ventricle morphogenesis,cardiac atrium morphogenesis,ventricular trabecula myocardium morphogenesis,cell migration involved in endocardial cushion formation,regulation of transcription, DNA-templated,cell adhesion,negative regulation of gene expression,positive regulation of pathway-restricted SMAD protein phosphorylation,regulation of transforming growth factor beta receptor signaling pathway,central nervous system vasculogenesis,negative regulation of cell migration,BMP signaling pathway,positive regulation of BMP signaling pathway,negative regulation of protein autophosphorylation,response to corticosteroid,positive regulation of collagen biosynthetic process,dorsal aorta morphogenesis,response to drug,positive regulation of angiogenesis,positive regulation of transcription from RNA polymerase II promoter,smooth muscle tissue development,artery morphogenesis,venous blood vessel morphogenesis,positive regulation of protein kinase B signaling,atrial cardiac muscle tissue morphogenesis,bone development,extracellular matrix constituent secretion,cellular response to mechanical stimulus,response to transforming growth factor beta,vascular smooth muscle cell development,positive regulation of epithelial to mesenchymal transition involved in endocardial cushion formation,positive regulation of vascular smooth muscle cell differentiation,atrioventricular canal morphogenesis,sprouting angiogenesis,regulation of cardiac muscle cell apoptotic process,endocardial cushion to mesenchymal transition,regulation of cardiac neural crest cell migration involved in outflow tract morphogenesis,regulation of cell proliferation involved in heart morphogenesis"
,,HeLa_XO44 / Hek293_XO44,Q02338,Q02338,4.23044062108501,4.23044062108501,0.0205784122885208,0.0073672811718401,6,Q02338,BDH1,"D-beta-hydroxybutyrate dehydrogenase, mitochondrial",BDH_HUMAN,10,1777.1091290108573,18.77109129010857,HeLa_XO44,Hek293_XO44,"nucleoplasm,mitochondrion,mitochondrial matrix,matrix side of mitochondrial inner membrane",3-hydroxybutyrate dehydrogenase activity,"ketone body biosynthetic process,ketone body catabolic process,oxidation-reduction process"
,,HeLa_XO44 / Hek293_XO44,Q01650,Q01650,4.221959171569861,4.221959171569861,0.0096256179592809,0.0057575869986538,6,Q01650,SLC7A5,Large neutral amino acids transporter small subunit 1,LAT1_HUMAN,11,1766.1061799017898,18.661061799017897,HeLa_XO44,Hek293_XO44,"cytosol,plasma membrane,integral component of plasma membrane,membrane,apical plasma membrane,intracellular membrane-bounded organelle,extracellular exosome","protein binding,amino acid transmembrane transporter activity,neutral amino acid transmembrane transporter activity,L-amino acid transmembrane transporter activity,antiporter activity,peptide antigen binding","cellular amino acid metabolic process,nervous system development,neutral amino acid transport,cell differentiation,leukocyte migration,L-alpha-amino acid transmembrane transport,amino acid transmembrane transport"
,,HeLa_XO44 / Hek293_XO44,Q86TC9,Q86TC9,4.212265350191756,4.212265350191756,0.0045146824871632,0.0048111027484456,6,Q86TC9,MYPN,Myopalladin,MYPN_HUMAN,18,1753.6093868871485,18.53609386887149,HeLa_XO44,Hek293_XO44,"nucleus,Z disc,I band","protein binding,cytoskeletal protein binding,SH3 domain binding,actin filament binding,muscle alpha-actinin binding","regulation of cell migration,sarcomere organization,cardiac muscle fiber development,regulation of cytoskeleton organization"
