Kinase Classification,Comparison (group1/group2),Group,ProteinGroups,AVG Log2 Ratio,Absolute AVG Log2 Ratio,Pvalue,Qvalue,# of Ratios,UniProtIds,Genes,ProteinDescriptions,ProteinNames,# Unique Total Peptides,% Change,Ratio,Condition Numerator,Condition Denominator,GO Cellular Component,GO Molecular Function,GO Biological Process
AGC,HeLa_XO44 / HeLa_control,Q05513,Q05513,4.29104911382306,4.29104911382306,0.0294024120103418,0.008989898944286,6,Q05513,PRKCZ,Protein kinase C zeta type,KPCZ_HUMAN,6,1857.64750908215,19.5764750908215,HeLa_XO44,HeLa_control,"nuclear envelope,cytoplasm,endosome,microtubule organizing center,cytosol,plasma membrane,cell-cell junction,bicellular tight junction,membrane,apical plasma membrane,nuclear matrix,cell junction,cell leading edge,filamentous actin,vesicle,myelin sheath abaxonal region,axon hillock,membrane raft,apical cortex,perinuclear region of cytoplasm,extracellular exosome","protein kinase activity,protein serine/threonine kinase activity,protein kinase C activity,protein binding,ATP binding,potassium channel regulator activity,protein kinase binding,protein domain specific binding,phospholipase binding,insulin receptor substrate binding,metal ion binding,14-3-3 protein binding","microtubule cytoskeleton organization,positive regulation of cell-matrix adhesion,protein phosphorylation,inflammatory response,signal transduction,transforming growth factor beta receptor signaling pathway,long-term memory,positive regulation of cell proliferation,insulin receptor signaling pathway,cell migration,peptidyl-serine phosphorylation,establishment of cell polarity,negative regulation of protein complex assembly,actin cytoskeleton reorganization,activation of phospholipase D activity,activation of protein kinase B activity,positive regulation of interleukin-4 production,negative regulation of apoptotic process,positive regulation of T-helper 2 cell differentiation,positive regulation of glucose import,negative regulation of insulin receptor signaling pathway,positive regulation of insulin receptor signaling pathway,vesicle transport along microtubule,negative regulation of peptidyl-tyrosine phosphorylation,positive regulation of NF-kappaB transcription factor activity,protein heterooligomerization,negative regulation of hydrolase activity,membrane depolarization,membrane hyperpolarization,long-term synaptic potentiation,positive regulation of ERK1 and ERK2 cascade,protein kinase C signaling,protein localization to plasma membrane,neuron projection extension,positive regulation of excitatory postsynaptic potential,positive regulation of T-helper 2 cell cytokine production,positive regulation of interleukin-5 secretion,positive regulation of interleukin-13 secretion,positive regulation of interleukin-10 secretion,intracellular signal transduction"
AGC,HeLa_XO44 / HeLa_control,P17612,P17612,5.80608067827755,5.80608067827755,0.0023329716536061,0.0047730276111831,6,P17612,PRKACA,cAMP-dependent protein kinase catalytic subunit alpha,KAPCA_HUMAN,7,5495.05604815814,55.9505604815814,HeLa_XO44,HeLa_control,"acrosomal vesicle,nucleus,nucleoplasm,cytoplasm,mitochondrion,centrosome,cytosol,cAMP-dependent protein kinase complex,nuclear speck,motile cilium,calcium channel complex,plasma membrane raft,intercellular bridge,perinuclear region of cytoplasm,extracellular exosome,ciliary base,axoneme,membrane","protein kinase activity,protein serine/threonine kinase activity,cAMP-dependent protein kinase activity,protein serine/threonine/tyrosine kinase activity,protein binding,ATP binding,protein kinase binding,ubiquitin protein ligase binding,protein kinase A regulatory subunit binding","G2/M transition of mitotic cell cycle,regulation of heart rate,stimulatory C-type lectin receptor signaling pathway,renal water homeostasis,mRNA processing,protein phosphorylation,blood coagulation,regulation of G2/M transition of mitotic cell cycle,regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion,regulation of macroautophagy,peptidyl-serine phosphorylation,cytokine-mediated signaling pathway,activation of protein kinase A activity,high-density lipoprotein particle assembly,cellular response to heat,calcium-mediated signaling using intracellular calcium source,regulation of protein binding,regulation of osteoblast differentiation,sperm capacitation,regulation of cytosolic calcium ion concentration,regulation of cardiac muscle contraction,regulation of ryanodine-sensitive calcium-release channel activity,regulation of proteasomal protein catabolic process,positive regulation of cell cycle arrest,cellular response to glucose stimulus,cellular response to glucagon stimulus,cellular response to epinephrine stimulus,cell communication by electrical coupling involved in cardiac conduction,ciliary basal body docking,regulation of cardiac conduction,regulation of bicellular tight junction assembly"
AGC,HeLa_XO44 / HeLa_control,P22694,P22694,5.18350613461529,5.18350613461529,0.0162608603632288,0.0067284261576896,6,P22694,PRKACB,cAMP-dependent protein kinase catalytic subunit beta,KAPCB_HUMAN,12,3534.04942148504,36.3404942148504,HeLa_XO44,HeLa_control,"nucleoplasm,centrosome,cytosol,plasma membrane,cAMP-dependent protein kinase complex,intercellular bridge,perinuclear region of cytoplasm,extracellular exosome,ciliary base","magnesium ion binding,protein serine/threonine kinase activity,cAMP-dependent protein kinase activity,protein binding,ATP binding,kinase activity,ubiquitin protein ligase binding","neural tube closure,stimulatory C-type lectin receptor signaling pathway,renal water homeostasis,protein phosphorylation,signal transduction,adenylate cyclase-modulating G-protein coupled receptor signaling pathway,blood coagulation,activation of protein kinase A activity,high-density lipoprotein particle assembly,negative regulation of meiotic cell cycle,regulation of protein processing,cellular response to glucagon stimulus,response to clozapine,negative regulation of smoothened signaling pathway involved in dorsal/ventral neural tube patterning"
AGC,HeLa_XO44 / HeLa_control,P17252,P17252,4.6558015499227,4.6558015499227,0.0171703104338788,0.006845318435792,6,P17252,PRKCA,Protein kinase C alpha type,KPCA_HUMAN,18,2420.78566455509,25.2078566455509,HeLa_XO44,HeLa_control,"nucleoplasm,cytoplasm,mitochondrion,endoplasmic reticulum,cytosol,plasma membrane,mitochondrial membrane,alphav-beta3 integrin-PKCalpha complex,perinuclear region of cytoplasm,extracellular exosome","protein kinase activity,protein serine/threonine kinase activity,protein kinase C activity,calcium-dependent protein kinase C activity,integrin binding,protein binding,ATP binding,zinc ion binding,enzyme binding,histone kinase activity (H3-T6 specific)","angiogenesis,positive regulation of endothelial cell proliferation,desmosome assembly,protein phosphorylation,mitotic nuclear envelope disassembly,cell adhesion,axon guidance,positive regulation of endothelial cell migration,positive regulation of cardiac muscle hypertrophy,peptidyl-serine phosphorylation,platelet activation,positive regulation of cell migration,positive regulation of lipopolysaccharide-mediated signaling pathway,negative regulation of glial cell apoptotic process,histone H3-T6 phosphorylation,intracellular signal transduction,ERBB2 signaling pathway,regulation of mRNA stability,positive regulation of blood vessel endothelial cell migration,positive regulation of macrophage differentiation,positive regulation of angiogenesis,positive regulation of bone resorption,positive regulation of cell adhesion,positive regulation of mitotic cell cycle,regulation of insulin secretion,positive regulation of ERK1 and ERK2 cascade,response to interleukin-1,regulation of platelet aggregation,apoptotic signaling pathway,Requires Ontology,positive regulation of dense core granule biogenesis"
AGC,HeLa_XO44 / HeLa_control,P05771,P05771,5.02049663051862,5.02049663051862,0.0055187933870075,0.0049195850368494,6,P05771,PRKCB,Protein kinase C beta type,KPCB_HUMAN,20,3145.78746656548,32.4578746656548,HeLa_XO44,HeLa_control,"nucleus,nucleoplasm,cytoplasm,cytosol,plasma membrane,extracellular exosome","chromatin binding,protein serine/threonine kinase activity,protein kinase C activity,calcium-dependent protein kinase C activity,protein kinase C binding,calcium channel regulator activity,protein binding,ATP binding,zinc ion binding,ligand-dependent nuclear receptor transcription coactivator activity,histone kinase activity (H3-T6 specific),histone binding,androgen receptor binding","response to hypoxia,adaptive immune response,transcription, DNA-templated,regulation of transcription from RNA polymerase II promoter,protein phosphorylation,calcium ion transport,cellular calcium ion homeostasis,apoptotic process,mitotic nuclear envelope disassembly,signal transduction,negative regulation of glucose transport,peptidyl-serine phosphorylation,platelet activation,positive regulation of vascular endothelial growth factor receptor signaling pathway,histone H3-T6 phosphorylation,intracellular signal transduction,B cell activation,lipoprotein transport,positive regulation of I-kappaB kinase/NF-kappaB signaling,regulation of myeloid cell differentiation,positive regulation of angiogenesis,negative regulation of insulin receptor signaling pathway,B cell receptor signaling pathway,positive regulation of B cell receptor signaling pathway,positive regulation of NF-kappaB transcription factor activity,cellular response to carbohydrate stimulus"
AGC,HeLa_XO44 / HeLa_control,Q05655,Q05655,5.19583685889672,5.19583685889672,0.0191560149435766,0.0071201936510898,6,Q05655,PRKCD,Protein kinase C delta type,KPCD_HUMAN,25,3565.24278152969,36.6524278152969,HeLa_XO44,HeLa_control,"extracellular region,nucleus,nucleoplasm,cytoplasm,endoplasmic reticulum,cytosol,plasma membrane,cell-cell junction,nuclear matrix,azurophil granule lumen,perinuclear region of cytoplasm,extracellular exosome","protein kinase activity,protein serine/threonine kinase activity,protein kinase C activity,calcium-independent protein kinase C activity,non-membrane spanning protein tyrosine kinase activity,protein binding,ATP binding,enzyme activator activity,enzyme binding,kinase binding,protein kinase binding,insulin receptor substrate binding,metal ion binding","stimulatory C-type lectin receptor signaling pathway,protein phosphorylation,apoptotic process,cell cycle,signal transduction,intrinsic apoptotic signaling pathway in response to oxidative stress,regulation of receptor activity,immunoglobulin mediated immune response,histone phosphorylation,peptidyl-serine phosphorylation,peptidyl-threonine phosphorylation,peptidyl-tyrosine phosphorylation,termination of signal transduction,platelet activation,negative regulation of actin filament polymerization,positive regulation of endodeoxyribonuclease activity,negative regulation of protein binding,activation of protein kinase activity,interleukin-10 production,interleukin-12 production,positive regulation of superoxide anion generation,regulation of actin cytoskeleton organization,negative regulation of glial cell apoptotic process,positive regulation of protein dephosphorylation,Fc-gamma receptor signaling pathway involved in phagocytosis,B cell proliferation,neutrophil activation,positive regulation of protein import into nucleus,defense response to bacterium,neutrophil degranulation,negative regulation of MAP kinase activity,regulation of mRNA stability,negative regulation of insulin receptor signaling pathway,negative regulation of inflammatory response,negative regulation of peptidyl-tyrosine phosphorylation,protein stabilization,negative regulation of filopodium assembly,cell chemotaxis,interferon-gamma-mediated signaling pathway,cellular response to hydrogen peroxide,cellular response to hydroperoxide,negative regulation of platelet aggregation,cellular senescence,execution phase of apoptosis,positive regulation of phospholipid scramblase activity,cellular response to angiotensin,positive regulation of ceramide biosynthetic process,positive regulation of glucosylceramide catabolic process,positive regulation of sphingomyelin catabolic process,positive regulation of response to DNA damage stimulus,positive regulation of apoptotic signaling pathway,intracellular signal transduction"
AGC,HeLa_XO44 / HeLa_control,Q02156,Q02156,4.09749222973324,4.09749222973324,0.0021974014953431,0.0047730276111831,6,Q02156,PRKCE,Protein kinase C epsilon type,KPCE_HUMAN,24,1611.85930624667,17.1185930624667,HeLa_XO44,HeLa_control,"nucleus,cytoplasm,mitochondrion,endoplasmic reticulum,cytosol,cytoskeleton,plasma membrane,perinuclear region of cytoplasm,cell periphery,Golgi apparatus","actin monomer binding,protein serine/threonine kinase activity,protein kinase C activity,calcium-independent protein kinase C activity,signal transducer activity,protein binding,ATP binding,enzyme activator activity,enzyme binding,receptor activator activity,ethanol binding,metal ion binding,14-3-3 protein binding","macrophage activation involved in immune response,protein phosphorylation,apoptotic process,cell cycle,cell adhesion,signal transduction,positive regulation of epithelial cell migration,positive regulation of fibroblast migration,positive regulation of cell-substrate adhesion,peptidyl-serine phosphorylation,platelet activation,positive regulation of actin filament polymerization,negative regulation of protein ubiquitination,lipopolysaccharide-mediated signaling pathway,positive regulation of insulin secretion,positive regulation of synaptic transmission, GABAergic,positive regulation of cytokinesis,intracellular signal transduction,locomotory exploration behavior,TRAM-dependent toll-like receptor 4 signaling pathway,Fc-gamma receptor signaling pathway involved in phagocytosis,positive regulation of catalytic activity,positive regulation of I-kappaB kinase/NF-kappaB signaling,response to morphine,positive regulation of MAPK cascade,regulation of peptidyl-tyrosine phosphorylation,positive regulation of lipid catabolic process,release of sequestered calcium ion into cytosol,regulation of release of sequestered calcium ion into cytosol,cell division,regulation of insulin secretion involved in cellular response to glucose stimulus,positive regulation of mucus secretion,cellular response to ethanol,cellular response to prostaglandin E stimulus,cellular response to hypoxia,positive regulation of wound healing,positive regulation of protein localization to plasma membrane,positive regulation of receptor activity,negative regulation of sodium ion transmembrane transporter activity,positive regulation of cellular glucuronidation"
AGC,HeLa_XO44 / HeLa_control,Q16513,Q16513,5.15328339982895,5.15328339982895,0.0093753941266131,0.0057047016098192,6,Q16513,PKN2,Serine/threonine-protein kinase N2,PKN2_HUMAN,42,3458.71230098601,35.5871230098601,HeLa_XO44,HeLa_control,"nucleus,nucleoplasm,cytoplasm,centrosome,cytosol,plasma membrane,nuclear body,lamellipodium,midbody,cleavage furrow,apical junction complex,intermediate filament cytoskeleton,perinuclear region of cytoplasm","RNA binding,protein kinase activity,protein serine/threonine kinase activity,protein kinase C activity,protein binding,ATP binding,kinase activity,GTP-Rho binding,histone deacetylase binding,cadherin binding,RNA polymerase binding","transcription, DNA-templated,regulation of transcription, DNA-templated,protein phosphorylation,apoptotic process,cell cycle,cell adhesion,signal transduction,epithelial cell migration,peptidyl-serine phosphorylation,cell projection organization,positive regulation of cytokinesis,intracellular signal transduction,apical junction assembly,positive regulation of viral genome replication,positive regulation of mitotic cell cycle,cell division,regulation of cell motility"
AGC,HeLa_XO44 / HeLa_control,P24723,P24723,3.83266483453806,3.83266483453806,0.0325420685986491,0.0096288283260489,6,P24723,PRKCH,Protein kinase C eta type,KPCL_HUMAN,12,1324.77759961859,14.2477759961859,HeLa_XO44,HeLa_control,"cytoplasm,cytosol,plasma membrane,cell-cell junction,extracellular exosome","protein kinase C activity,calcium-independent protein kinase C activity,protein binding,ATP binding,Ral GTPase binding,enzyme binding,metal ion binding,protein serine/threonine kinase activity","protein phosphorylation,signal transduction,positive regulation of macrophage derived foam cell differentiation,peptidyl-serine phosphorylation,platelet activation,negative regulation of glial cell apoptotic process,intracellular signal transduction,positive regulation of keratinocyte differentiation,positive regulation of B cell receptor signaling pathway,positive regulation of NF-kappaB transcription factor activity,positive regulation of glial cell proliferation,protein kinase C signaling,positive regulation of protein localization to plasma membrane,regulation of bicellular tight junction assembly"
AGC,HeLa_XO44 / HeLa_control,Q96GX5,Q96GX5,6.46216957568695,6.46216957568695,0.0056691434007857,0.004945790656325,6,Q96GX5,MASTL,Serine/threonine-protein kinase greatwall,GWL_HUMAN,34,8716.7165608308,88.167165608308,HeLa_XO44,HeLa_control,"nucleus,nucleoplasm,cytoplasm,centrosome,cleavage furrow","protein serine/threonine kinase activity,ATP binding,kinase activity,protein phosphatase 2A binding","G2/M transition of mitotic cell cycle,mitotic cell cycle,cellular response to DNA damage stimulus,female meiosis II,peptidyl-serine phosphorylation,negative regulation of phosphoprotein phosphatase activity,intracellular signal transduction,cell division,positive regulation of ubiquitin-protein ligase activity involved in meiotic cell cycle,regulation of cell cycle"
AGC,HeLa_XO44 / HeLa_control,Q9UK32,Q9UK32,2.67943933869771,2.67943933869771,0.0274253529297063,0.0086000020765243,6,Q9UK32,RPS6KA6,Ribosomal protein S6 kinase alpha-6,KS6A6_HUMAN,20,540.60690052448,6.4060690052448,HeLa_XO44,HeLa_control,"fibrillar center,nucleus,nucleoplasm,nucleolus,cytoplasm,mitochondrion,cytosol","magnesium ion binding,protein kinase activity,protein serine/threonine kinase activity,ATP binding,kinase activity,ribosomal protein S6 kinase activity","protein phosphorylation,DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator,signal transduction,central nervous system development,negative regulation of embryonic development,negative regulation of ERK1 and ERK2 cascade,negative regulation of mesoderm development,cellular response to stress,intracellular signal transduction"
AGC,HeLa_XO44 / HeLa_control,Q96BR1,Q96BR1,4.09472440306259,4.09472440306259,0.0291824932806423,0.0089489353113351,6,Q96BR1,SGK3,Serine/threonine-protein kinase Sgk3,SGK3_HUMAN,20,1608.5782332981,17.085782332981,HeLa_XO44,HeLa_control,"early endosome,cytosol,cytoplasmic vesicle,recycling endosome","protein kinase activity,protein serine/threonine kinase activity,calcium channel regulator activity,protein binding,ATP binding,potassium channel regulator activity,sodium channel regulator activity,chloride channel regulator activity,phosphatidylinositol binding","regulation of cell growth,protein phosphorylation,peptidyl-serine phosphorylation,regulation of cell migration,positive regulation of transporter activity,ion transmembrane transport,intracellular signal transduction,regulation of cell proliferation,regulation of apoptotic process,regulation of sequence-specific DNA binding transcription factor activity"
AGC,HeLa_XO44 / HeLa_control,O00141,O00141,4.84373562951298,4.84373562951298,0.0081615115569741,0.005467683591063,6,O00141,SGK1,Serine/threonine-protein kinase Sgk1,SGK1_HUMAN,9,2771.50591718674,28.7150591718674,HeLa_XO44,HeLa_control,"nucleus,cytoplasm,mitochondrion,endoplasmic reticulum membrane,cytosol,plasma membrane,nuclear speck","protein serine/threonine kinase activity,protein serine/threonine/tyrosine kinase activity,calcium channel regulator activity,protein binding,ATP binding,potassium channel regulator activity,sodium channel regulator activity,chloride channel regulator activity","regulation of cell growth,protein phosphorylation,sodium ion transport,apoptotic process,cellular response to DNA damage stimulus,long-term memory,regulation of blood pressure,peptidyl-serine phosphorylation,regulation of cell migration,positive regulation of transporter activity,ion transmembrane transport,intracellular signal transduction,regulation of cell proliferation,regulation of apoptotic process,neuron projection morphogenesis,regulation of catalytic activity,regulation of sequence-specific DNA binding transcription factor activity,regulation of gastric acid secretion,renal sodium ion absorption"
AGC,HeLa_XO44 / HeLa_control,P34947,P34947,4.10347331591118,4.10347331591118,0.0156553657092273,0.0066398405643989,6,P34947,GRK5,G protein-coupled receptor kinase 5,GRK5_HUMAN,8,1618.97101795941,17.1897101795941,HeLa_XO44,HeLa_control,"cytoplasm,cytosol,plasma membrane,nuclear speck,nuclear membrane","protein serine/threonine kinase activity,G-protein coupled receptor kinase activity,protein kinase C binding,protein binding,ATP binding,phospholipid binding,beta-adrenergic receptor kinase activity","apoptotic process,G-protein coupled receptor signaling pathway,adenylate cyclase-modulating G-protein coupled receptor signaling pathway,tachykinin receptor signaling pathway,regulation of G-protein coupled receptor protein signaling pathway,positive regulation of cell proliferation,Wnt signaling pathway,negative regulation of apoptotic process,fat cell differentiation,protein autophosphorylation,regulation of cell cycle"
AGC,HeLa_XO44 / HeLa_control,P43250,P43250,4.71736425576819,4.71736425576819,0.003408849940165,0.0047730276111831,6,P43250,GRK6,G protein-coupled receptor kinase 6,GRK6_HUMAN,22,2530.68071728869,26.3068071728869,HeLa_XO44,HeLa_control,"plasma membrane,membrane","G-protein coupled receptor kinase activity,protein binding,ATP binding,beta-adrenergic receptor kinase activity","protein phosphorylation,G-protein coupled receptor signaling pathway,regulation of G-protein coupled receptor protein signaling pathway,Wnt signaling pathway"
