HGNC ,Kinase Classification,Genes,ProteinDescriptions
CAMK1D,CAMK,CAMK1D,Calcium/calmodulin-dependent protein kinase type 1D
ULK3,Other,ULK3,Serine/threonine-protein kinase ULK3
CAMKK2,Other,CAMKK2,Calcium/calmodulin-dependent protein kinase kinase 2
RPS6KA1,AGC,RPS6KA1,Ribosomal protein S6 kinase alpha-1
CAMK1,CAMK,CAMK1,Calcium/calmodulin-dependent protein kinase type 1
NEK3,Other,NEK3,Serine/threonine-protein kinase Nek3
MARK3,CAMK,MARK3,MAP/microtubule affinity-regulating kinase 3
TBK1,Other,TBK1,Serine/threonine-protein kinase TBK1
STK11,CAMK,STK11,Serine/threonine-protein kinase STK11
CDK16,CMGC,CDK16,Cyclin-dependent kinase 16
,,PFKL,"ATP-dependent 6-phosphofructokinase, liver type"
NEK9,Other,NEK9,Serine/threonine-protein kinase Nek9
MAPK8,CMGC,MAPK8,Mitogen-activated protein kinase 8
AKT1,AGC,AKT1,RAC-alpha serine/threonine-protein kinase
CLK2,CMGC,CLK2,Dual specificity protein kinase CLK2
CDK4,CMGC,CDK4,Cyclin-dependent kinase 4
MASTL,AGC,MASTL,Serine/threonine-protein kinase greatwall
TLK1,Other,TLK1,Serine/threonine-protein kinase tousled-like 1
JAK1,TK,JAK1,Tyrosine-protein kinase JAK1
STK33,CAMK,STK33,Serine/threonine-protein kinase 33
CDK17,CMGC,CDK17,Cyclin-dependent kinase 17
MAP3K2,STE,MAP3K2,Mitogen-activated protein kinase kinase kinase 2
AKT3,AGC,AKT3,RAC-gamma serine/threonine-protein kinase
BRSK2,CAMK,BRSK2,Serine/threonine-protein kinase BRSK2
GRK6,AGC,GRK6,G protein-coupled receptor kinase 6
MAP2K5,STE,MAP2K5,Dual specificity mitogen-activated protein kinase kinase 5
ABL2,TK,ABL2,Tyrosine-protein kinase ABL2
PTK2,TK,PTK2,Focal adhesion kinase 1
MAPK12,CMGC,MAPK12,Mitogen-activated protein kinase 12
DYRK1B,CMGC,DYRK1B,Dual specificity tyrosine-phosphorylation-regulated kinase 1B
RIPK2,TKL,RIPK2,Receptor-interacting serine/threonine-protein kinase 2
MAP4K5,STE,MAP4K5,Mitogen-activated protein kinase kinase kinase kinase 5
SGK3,AGC,SGK3,Serine/threonine-protein kinase Sgk3
DYRK1A,CMGC,DYRK1A,Dual specificity tyrosine-phosphorylation-regulated kinase 1A
SYK,TK,SYK,Tyrosine-protein kinase SYK
TYK2,TK,TYK2,Non-receptor tyrosine-protein kinase TYK2
TYK2,TK,TYK2,Non-receptor tyrosine-protein kinase TYK2
MAP2K6,STE,MAP2K6,Dual specificity mitogen-activated protein kinase kinase 6
CDK11B,CMGC,CDK11B,Cyclin-dependent kinase 11B
CDK12,CMGC,CDK12,Cyclin-dependent kinase 12
MARK1,CAMK,MARK1,Serine/threonine-protein kinase MARK1
LIMK2,TKL,LIMK2,LIM domain kinase 2
TNIK,STE,TNIK,TRAF2 and NCK-interacting protein kinase
STK10,STE,STK10,Serine/threonine-protein kinase 10
CDK13,CMGC,CDK13,Cyclin-dependent kinase 13
RIPK1,TKL,RIPK1,Receptor-interacting serine/threonine-protein kinase 1
MAP2K3,STE,MAP2K3,Dual specificity mitogen-activated protein kinase kinase 3
,,PIK3C3,Phosphatidylinositol 3-kinase catalytic subunit type 3
MAP4K3,STE,MAP4K3,Mitogen-activated protein kinase kinase kinase kinase 3
WEE1,Other,WEE1,Wee1-like protein kinase
,,MAP3K21,Mitogen-activated protein kinase kinase kinase 21
TTK,Other,TTK,Dual specificity protein kinase TTK
,,PIP5K1A,Phosphatidylinositol 4-phosphate 5-kinase type-1 alpha
SLK,STE,SLK,STE20-like serine/threonine-protein kinase
ARAF,TKL,ARAF,Serine/threonine-protein kinase A-Raf
CDK7,CMGC,CDK7,Cyclin-dependent kinase 7
MAP4K4,STE,MAP4K4,Mitogen-activated protein kinase kinase kinase kinase 4
MAP3K4,STE,MAP3K4,Mitogen-activated protein kinase kinase kinase 4
MATK,TK,MATK,Megakaryocyte-associated tyrosine-protein kinase
GAK,Other,GAK,Cyclin-G-associated kinase
RPS6KB1,AGC,RPS6KB1,Ribosomal protein S6 kinase beta-1
MAP2K4,STE,MAP2K4,Dual specificity mitogen-activated protein kinase kinase 4
OXSR1,STE,OXSR1,Serine/threonine-protein kinase OSR1
FER,TK,FER,Tyrosine-protein kinase Fer
,,PIP4K2C,Phosphatidylinositol 5-phosphate 4-kinase type-2 gamma
CDK11A,CMGC,CDK11A,Cyclin-dependent kinase 11A
STK35,Other,STK35,Serine/threonine-protein kinase 35
CSNK1E,CK1,CSNK1E,Casein kinase I isoform epsilon
CAMK2G,CAMK,CAMK2G,Calcium/calmodulin-dependent protein kinase type II subunit gamma
ROCK2,AGC,ROCK2,Rho-associated protein kinase 2
PAK4,STE,PAK4,Serine/threonine-protein kinase PAK 4
MKNK2,CAMK,MKNK2,MAP kinase-interacting serine/threonine-protein kinase 2
COQ8B,Atypical,COQ8B,"Atypical kinase COQ8B, mitochondrial"
,,DCAKD,Dephospho-CoA kinase domain-containing protein
,,PFKP,"ATP-dependent 6-phosphofructokinase, platelet type"
CLK4,CMGC,CLK4,Dual specificity protein kinase CLK4
LATS2,AGC,LATS2,Serine/threonine-protein kinase LATS2
CSNK1G3,CK1,CSNK1G3,Casein kinase I isoform gamma-3
CSNK1D,CK1,CSNK1D,Casein kinase I isoform delta
PRKD2,CAMK,PRKD2,Serine/threonine-protein kinase D2
EIF2AK1,Other,EIF2AK1,Eukaryotic translation initiation factor 2-alpha kinase 1
PDK2,Atypical,PDK2,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 2, mitochondrial"
DSTYK,Other,DSTYK,Dual serine/threonine and tyrosine protein kinase
SNRK,CAMK,SNRK,SNF-related serine/threonine-protein kinase
ULK1,Other,ULK1,Serine/threonine-protein kinase ULK1
PKMYT1,Other,PKMYT1,Membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase
CAMK2D,CAMK,CAMK2D,Calcium/calmodulin-dependent protein kinase type II subunit delta
NEK1,Other,NEK1,Serine/threonine-protein kinase Nek1
CSNK1G2,CK1,CSNK1G2,Casein kinase I isoform gamma-2
CDK20,CMGC,CDK20,Cyclin-dependent kinase 20
EIF2AK4,Other,EIF2AK4,eIF-2-alpha kinase GCN2
CDK9,CMGC,CDK9,Cyclin-dependent kinase 9
PDIK1L,Other,PDIK1L,Serine/threonine-protein kinase PDIK1L
PRKCQ,AGC,PRKCQ,Protein kinase C theta type
MAP3K6,STE,MAP3K6,Mitogen-activated protein kinase kinase kinase 6
MAST3,AGC,MAST3,Microtubule-associated serine/threonine-protein kinase 3
MAP3K5,STE,MAP3K5,Mitogen-activated protein kinase kinase kinase 5
TNK2,TK,TNK2,Activated CDC42 kinase 1
TEC,TK,TEC,Tyrosine-protein kinase Tec
MERTK,TK,MERTK,Tyrosine-protein kinase Mer
PRKCE,AGC,PRKCE,Protein kinase C epsilon type
NEK2,Other,NEK2,Serine/threonine-protein kinase Nek2
MINK1,STE,MINK1,Misshapen-like kinase 1
MAP3K15,STE,MAP3K15,Mitogen-activated protein kinase kinase kinase 15
MAPK13,CMGC,MAPK13,Mitogen-activated protein kinase 13
,,AKAP8L,A-kinase anchor protein 8-like
MAP3K20,TKL,MAP3K20,Mitogen-activated protein kinase kinase kinase 20
CAMK4,CAMK,CAMK4,Calcium/calmodulin-dependent protein kinase type IV
CLK1,CMGC,CLK1,Dual specificity protein kinase CLK1
CSNK1A1,CK1,CSNK1A1,Casein kinase I isoform alpha
PRKACA,AGC,PRKACA,cAMP-dependent protein kinase catalytic subunit alpha
MARK4,CAMK,MARK4,MAP/microtubule affinity-regulating kinase 4
STK16,Other,STK16,Serine/threonine-protein kinase 16
PRKACB,AGC,PRKACB,cAMP-dependent protein kinase catalytic subunit beta
NLK,CMGC,NLK,Serine/threonine-protein kinase NLK
SIK2,CAMK,SIK2,Serine/threonine-protein kinase SIK2
EIF2AK3,Other,EIF2AK3,Eukaryotic translation initiation factor 2-alpha kinase 3
NEK4,Other,NEK4,Serine/threonine-protein kinase Nek4
MKNK1,CAMK,MKNK1,MAP kinase-interacting serine/threonine-protein kinase 1
CDK6,CMGC,CDK6,Cyclin-dependent kinase 6
MELK,CAMK,MELK,Maternal embryonic leucine zipper kinase
MAST4,AGC,MAST4,Microtubule-associated serine/threonine-protein kinase 4
PLK4,Other,PLK4,Serine/threonine-protein kinase PLK4
PRKCH,AGC,PRKCH,Protein kinase C eta type
PKN1,AGC,PKN1,Serine/threonine-protein kinase N1
LIMK1,TKL,LIMK1,LIM domain kinase 1
PRKD3,CAMK,PRKD3,Serine/threonine-protein kinase D3
HIPK2,CMGC,HIPK2,Homeodomain-interacting protein kinase 2
BRAF,TKL,BRAF,Serine/threonine-protein kinase B-raf
CDK18,CMGC,CDK18,Cyclin-dependent kinase 18
PHKG2,CAMK,PHKG2,"Phosphorylase b kinase gamma catalytic chain, liver/testis isoform"
RAF1,TKL,RAF1,RAF proto-oncogene serine/threonine-protein kinase
MAPK11,CMGC,MAPK11,Mitogen-activated protein kinase 11
STK25,STE,STK25,Serine/threonine-protein kinase 25
CDK14,CMGC,CDK14,Cyclin-dependent kinase 14
MAPK7,CMGC,MAPK7,Mitogen-activated protein kinase 7
,,AKAP8,A-kinase anchor protein 8
RPS6KA4,AGC,RPS6KA4,Ribosomal protein S6 kinase alpha-4
SIK3,CAMK,SIK3,Serine/threonine-protein kinase SIK3
TYRO3,TK,TYRO3,Tyrosine-protein kinase receptor TYRO3
MAP3K1,STE,MAP3K1,Mitogen-activated protein kinase kinase kinase 1
PRKCD,AGC,PRKCD,Protein kinase C delta type
PDPK1,AGC,PDPK1,3-phosphoinositide-dependent protein kinase 1
BCKDK,Atypical,BCKDK,"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial"
RPS6KB2,AGC,RPS6KB2,Ribosomal protein S6 kinase beta-2
PLK1,Other,PLK1,Serine/threonine-protein kinase PLK1
,,COQ8A,"Atypical kinase COQ8A, mitochondrial"
ABL1,TK,ABL1,Tyrosine-protein kinase ABL1
VRK2,CK1,VRK2,Serine/threonine-protein kinase VRK2
STK36,Other,STK36,Serine/threonine-protein kinase 36
,,FASTKD3,"FAST kinase domain-containing protein 3, mitochondrial"
PKN3,AGC,PKN3,Serine/threonine-protein kinase N3
ROCK1,AGC,ROCK1,Rho-associated protein kinase 1
ERBB4,TK,ERBB4,Receptor tyrosine-protein kinase erbB-4
MAST2,AGC,MAST2,Microtubule-associated serine/threonine-protein kinase 2
FASTKD1,not in kinbase,FASTKD1,"FAST kinase domain-containing protein 1, mitochondrial"
CDK8,CMGC,CDK8,Cyclin-dependent kinase 8
CSNK2A2,CMGC,CSNK2A2,Casein kinase II subunit alpha'
PKN2,AGC,PKN2,Serine/threonine-protein kinase N2
GRK2,AGC,GRK2,Beta-adrenergic receptor kinase 1
,,CILK1,Serine/threonine-protein kinase ICK
PDK1,Atypical,PDK1,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial"
,,PIK3AP1,Phosphoinositide 3-kinase adapter protein 1
ROR2,TK,ROR2,Tyrosine-protein kinase transmembrane receptor ROR2
PDK3,Atypical,PDK3,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial"
MYLK,CAMK,MYLK,"Myosin light chain kinase, smooth muscle"
PRKG1,AGC,PRKG1,cGMP-dependent protein kinase 1
FASTKD2,not in kinbase,FASTKD2,"FAST kinase domain-containing protein 2, mitochondrial"
HIPK1,CMGC,HIPK1,Homeodomain-interacting protein kinase 1
MAP2K7,STE,MAP2K7,Dual specificity mitogen-activated protein kinase kinase 7
LRRK2,TKL,LRRK2,Leucine-rich repeat serine/threonine-protein kinase 2
MAP3K11,TKL,MAP3K11,Mitogen-activated protein kinase kinase kinase 11
PRKD1,CAMK,PRKD1,Serine/threonine-protein kinase D1
CDKL5,CMGC,CDKL5,Cyclin-dependent kinase-like 5
NUAK1,CAMK,NUAK1,NUAK family SNF1-like kinase 1
,,PPIP5K1,Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 1
,,KIDINS220,Kinase D-interacting substrate of 220 kDa
AAK1,Other,AAK1,AP2-associated protein kinase 1
,,PHKA1,"Phosphorylase b kinase regulatory subunit alpha, skeletal muscle isoform"
SRPK2,CMGC,SRPK2,SRSF protein kinase 2
DYRK2,CMGC,DYRK2,Dual specificity tyrosine-phosphorylation-regulated kinase 2
PRKCB,AGC,PRKCB,Protein kinase C beta type
HUNK,CAMK,HUNK,Hormonally up-regulated neu tumor-associated kinase
CSNK1G1,CK1,CSNK1G1,Casein kinase I isoform gamma-1
,,PIP4K2B,Phosphatidylinositol 5-phosphate 4-kinase type-2 beta
TNK1,TK,TNK1,Non-receptor tyrosine-protein kinase TNK1
,,PI4K2A,Phosphatidylinositol 4-kinase type 2-alpha
TK2,TK,TK2,"Thymidine kinase 2, mitochondrial"
CSNK2A1,CMGC,CSNK2A1,Casein kinase II subunit alpha
,,DTYMK,Thymidylate kinase
RPS6KA6,AGC,RPS6KA6,Ribosomal protein S6 kinase alpha-6
MAP3K10,TKL,MAP3K10,Mitogen-activated protein kinase kinase kinase 10
,,SPHK2,Sphingosine kinase 2
CDK19,CMGC,CDK19,Cyclin-dependent kinase 19
,,DIPK2A,Divergent protein kinase domain 2A
,,PIP4K2A,Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha
,,AK4,"Adenylate kinase 4, mitochondrial"
,,AGK,"Acylglycerol kinase, mitochondrial"
DAPK3,CAMK,DAPK3,Death-associated protein kinase 3
,,PI4KA,Phosphatidylinositol 4-kinase alpha
,,CSNK2B,Casein kinase II subunit beta
,,PI4K2B,Phosphatidylinositol 4-kinase type 2-beta
,,DGKE,Diacylglycerol kinase epsilon
FASTKD5,not in kinbase,FASTKD5,"FAST kinase domain-containing protein 5, mitochondrial"
,,NOL9,Polynucleotide 5'-hydroxyl-kinase NOL9
JAK2,TK,JAK2,Tyrosine-protein kinase JAK2
,,TAB3,TGF-beta-activated kinase 1 and MAP3K7-binding protein 3
,,DGKH,Diacylglycerol kinase eta
NEK8,Other,NEK8,Serine/threonine-protein kinase Nek8
TAOK1,STE,TAOK1,Serine/threonine-protein kinase TAO1
CDKL2,CMGC,CDKL2,Cyclin-dependent kinase-like 2
HASPIN,Other,HASPIN,Serine/threonine-protein kinase haspin
CAMK2B,CAMK,CAMK2B,Calcium/calmodulin-dependent protein kinase type II subunit beta
,,PI4KB,Phosphatidylinositol 4-kinase beta
MAPKAPK2,CAMK,MAPKAPK2,MAP kinase-activated protein kinase 2
MAP4K2,STE,MAP4K2,Mitogen-activated protein kinase kinase kinase kinase 2
GRK5,AGC,GRK5,G protein-coupled receptor kinase 5
,,PIK3C2A,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha
,,PHKB,Phosphorylase b kinase regulatory subunit beta
NME4,NDK,NME4,"Nucleoside diphosphate kinase, mitochondrial"
,,PRKAG1,5'-AMP-activated protein kinase subunit gamma-1
PRKCA,AGC,PRKCA,Protein kinase C alpha type
ROR1,TK,ROR1,Inactive tyrosine-protein kinase transmembrane receptor ROR1
CDC7,Other,CDC7,Cell division cycle 7-related protein kinase
,,NADK2,"NAD kinase 2, mitochondrial"
,,PFKM,"ATP-dependent 6-phosphofructokinase, muscle type"
CHEK1,CAMK,CHEK1,Serine/threonine-protein kinase Chk1
,,PAK1IP1,p21-activated protein kinase-interacting protein 1
,,ADPGK,ADP-dependent glucokinase
,,HGS,Hepatocyte growth factor-regulated tyrosine kinase substrate
CDC42BPA,AGC,CDC42BPA,Serine/threonine-protein kinase MRCK alpha
,,MVK,Mevalonate kinase
NEK7,Other,NEK7,Serine/threonine-protein kinase Nek7
IKBKB,Other,IKBKB,Inhibitor of nuclear factor kappa-B kinase subunit beta
,,DIPK1B,Divergent protein kinase domain 1B
,,PGK1,Phosphoglycerate kinase 1
RIOK1,Atypical,RIOK1,Serine/threonine-protein kinase RIO1
,,UCKL1,Uridine-cytidine kinase-like 1
,,PHKA2,"Phosphorylase b kinase regulatory subunit alpha, liver isoform"
TESK2,TKL,TESK2,Dual specificity testis-specific protein kinase 2
SRPK1,CMGC,SRPK1,SRSF protein kinase 1
,,TBRG4,FAST kinase domain-containing protein 4
,,NADK,NAD kinase
,,PANK3,Pantothenate kinase 3
,,GUK1,Guanylate kinase
,,PRKAB1,5'-AMP-activated protein kinase subunit beta-1
,,GK,Glycerol kinase
CDC42BPB,AGC,CDC42BPB,Serine/threonine-protein kinase MRCK beta
,,AKAP1,"A-kinase anchor protein 1, mitochondrial"
PASK,CAMK,PASK,PAS domain-containing serine/threonine-protein kinase
DAPK1,CAMK,DAPK1,Death-associated protein kinase 1
,,CDKN2A,Cyclin-dependent kinase inhibitor 2A
DCLK1,CAMK,DCLK1,Serine/threonine-protein kinase DCLK1
RIOK2,Atypical,RIOK2,Serine/threonine-protein kinase RIO2
,,PACSIN3,Protein kinase C and casein kinase substrate in neurons protein 3
TK1,TK,TK1,"Thymidine kinase, cytosolic"
ADK,CMGC,ADK,Adenosine kinase
PTK2B,TK,PTK2B,Protein-tyrosine kinase 2-beta
DCLK2,CAMK,DCLK2,Serine/threonine-protein kinase DCLK2
VRK1,CK1,VRK1,Serine/threonine-protein kinase VRK1
ADCK1,Atypical,ADCK1,AarF domain-containing protein kinase 1
DCK,CAMK,DCK,Deoxycytidine kinase
PRKCI,AGC,PRKCI,Protein kinase C iota type
BAZ1B,Atypical,BAZ1B,Tyrosine-protein kinase BAZ1B
,,ETNK1,Ethanolamine kinase 1
,,PPIP5K2,Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2
ATR,Atypical,ATR,Serine/threonine-protein kinase ATR
,,IP6K1,Inositol hexakisphosphate kinase 1
,,PRKRA,Interferon-inducible double-stranded RNA-dependent protein kinase activator A
,,EPS8,Epidermal growth factor receptor kinase substrate 8
,,MARCKS,Myristoylated alanine-rich C-kinase substrate
CHUK,Other,CHUK,Inhibitor of nuclear factor kappa-B kinase subunit alpha
PEAK1,Other,PEAK1,Inactive tyrosine-protein kinase PEAK1
,,PIKFYVE,1-phosphatidylinositol 3-phosphate 5-kinase
PBK,Other,PBK,Lymphokine-activated killer T-cell-originated protein kinase
WNK1,Other,WNK1,Serine/threonine-protein kinase WNK1
STRADA,STE,STRADA,STE20-related kinase adapter protein alpha
,,SPAG9,C-Jun-amino-terminal kinase-interacting protein 4
,,IBTK,Inhibitor of Bruton tyrosine kinase
,,PIK3R2,Phosphatidylinositol 3-kinase regulatory subunit beta
PIK3R4,Other,PIK3R4,Phosphoinositide 3-kinase regulatory subunit 4
,,PFKFB3,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3"
,,HK1,Hexokinase-1
WNK3,Other,WNK3,Serine/threonine-protein kinase WNK3
PRKDC,Atypical,PRKDC,DNA-dependent protein kinase catalytic subunit
,,AKAP11,A-kinase anchor protein 11
,,MNAT1,CDK-activating kinase assembly factor MAT1
,,MOB2,MOB kinase activator 2
TAOK3,STE,TAOK3,Serine/threonine-protein kinase TAO3
BUB1B,Other,BUB1B,Mitotic checkpoint serine/threonine-protein kinase BUB1 beta
,,PRKAR2A,cAMP-dependent protein kinase type II-alpha regulatory subunit
,,TAB1,TGF-beta-activated kinase 1 and MAP3K7-binding protein 1
WNK2,Other,WNK2,Serine/threonine-protein kinase WNK2
,,SHPK,Sedoheptulokinase
,,PMVK,Phosphomevalonate kinase
CIT,AGC,CIT,Citron Rho-interacting kinase
,,HK2,Hexokinase-2
CDKL1,CMGC,CDKL1,Cyclin-dependent kinase-like 1
ILK,TKL,ILK,Integrin-linked protein kinase
RIPK4,TKL,RIPK4,Receptor-interacting serine/threonine-protein kinase 4
NME3,NDK,NME3,Nucleoside diphosphate kinase 3
,,PDXK,Pyridoxal kinase
ATM,Atypical,ATM,Serine-protein kinase ATM
TBCK,Other,TBCK,TBC domain-containing protein kinase-like protein
,,SKP2,S-phase kinase-associated protein 2
MAST1,AGC,MAST1,Microtubule-associated serine/threonine-protein kinase 1
,,MADD,MAP kinase-activating death domain protein
,,GALK1,Galactokinase
EEF2K,Atypical,EEF2K,Eukaryotic elongation factor 2 kinase
,,PACSIN2,Protein kinase C and casein kinase substrate in neurons protein 2
HIPK3,CMGC,HIPK3,Homeodomain-interacting protein kinase 3
,,AK2,"Adenylate kinase 2, mitochondrial"
,,PFKFB2,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2"
VRK3,CK1,VRK3,Inactive serine/threonine-protein kinase VRK3
FAM20B,PKL,FAM20B,Glycosaminoglycan xylosylkinase
KSR1,TKL,KSR1,Kinase suppressor of Ras 1
,,GNE,Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase
,,CLP1,Polyribonucleotide 5'-hydroxyl-kinase Clp1
,,PRKAR1A,cAMP-dependent protein kinase type I-alpha regulatory subunit
RIOK3,Atypical,RIOK3,Serine/threonine-protein kinase RIO3
,,CKMT1A,"Creatine kinase U-type, mitochondrial"
,,PCK2,"Phosphoenolpyruvate carboxykinase [GTP], mitochondrial"
MLKL,TKL,MLKL,Mixed lineage kinase domain-like protein
SMG1,Atypical,SMG1,Serine/threonine-protein kinase SMG1
PRAG1,Other,PRAG1,Inactive tyrosine-protein kinase PRAG1
,,SEPHS1,"Selenide, water dikinase 1"
SCYL1,Other,SCYL1,N-terminal kinase-like protein
MAPKAPK3,CAMK,MAPKAPK3,MAP kinase-activated protein kinase 3
MTOR,Atypical,MTOR,Serine/threonine-protein kinase mTOR
,,NAGK,N-acetyl-D-glucosamine kinase
,,AK6,Adenylate kinase isoenzyme 6
,,PNKP,Bifunctional polynucleotide phosphatase/kinase
,,FN3KRP,Ketosamine-3-kinase
BUB1,Other,BUB1,Mitotic checkpoint serine/threonine-protein kinase BUB1
,,STK11IP,Serine/threonine-protein kinase 11-interacting protein
,,PIK3CD,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform"
,,NELL2,Protein kinase C-binding protein NELL2
,,RFK,Riboflavin kinase
NME7,NDK,NME7,Nucleoside diphosphate kinase 7
,,PRPS1,Ribose-phosphate pyrophosphokinase 1
,,ILKAP,Integrin-linked kinase-associated serine/threonine phosphatase 2C
,,ITPKC,Inositol-trisphosphate 3-kinase C
,,AKAP12,A-kinase anchor protein 12
,,THAP12,52 kDa repressor of the inhibitor of the protein kinase
,,UCK2,Uridine-cytidine kinase 2
,,PKM,Pyruvate kinase PKM
,,AKAP9,A-kinase anchor protein 9
,,ITPK1,Inositol-tetrakisphosphate 1-kinase
,,PIP5K1C,Phosphatidylinositol 4-phosphate 5-kinase type-1 gamma
,,PIK3R1,Phosphatidylinositol 3-kinase regulatory subunit alpha
,,STRAP,Serine-threonine kinase receptor-associated protein
PRKCZ,AGC,PRKCZ,Protein kinase C zeta type
,,PIK3CA,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform"
,,SEPHS2,"Selenide, water dikinase 2"
,,AKAP13,A-kinase anchor protein 13
,,CKB,Creatine kinase B-type
,,PIK3CB,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform"
,,PRPS2,Ribose-phosphate pyrophosphokinase 2
,,IKBIP,Inhibitor of nuclear factor kappa-B kinase-interacting protein
NME1,NDK,NME1,Nucleoside diphosphate kinase A
,,TKFC,Triokinase/FMN cyclase
,,AKAP17A,A-kinase anchor protein 17A
BMP2K,Other,BMP2K,BMP-2-inducible protein kinase
NME2,NDK,NME2,Nucleoside diphosphate kinase B
,,CMPK1,UMP-CMP kinase
,,SKP1,S-phase kinase-associated protein 1
LRRK1,TKL,LRRK1,Leucine-rich repeat serine/threonine-protein kinase 1
,,IPPK,Inositol-pentakisphosphate 2-kinase
,,NUCKS1,Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1
STK17B,CAMK,STK17B,Serine/threonine-protein kinase 17B
,,CRYBG3,Very large A-kinase anchor protein
AK1,Atypical,AK1,Adenylate kinase isoenzyme 1
ULK2,Other,ULK2,Serine/threonine-protein kinase ULK2
,,AKAP10,"A-kinase anchor protein 10, mitochondrial"
,,MOB1A,MOB kinase activator 1A
,,PIK3C2B,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta
PTK7,TK,PTK7,Inactive tyrosine-protein kinase 7
TAOK2,STE,TAOK2,Serine/threonine-protein kinase TAO2
NUAK2,CAMK,NUAK2,NUAK family SNF1-like kinase 2
,,CHKA,Choline kinase alpha
NME6,NDK,NME6,Nucleoside diphosphate kinase 6
,,DGKD,Diacylglycerol kinase delta
,,FCSK,L-fucose kinase
